,GM
% Above Low,0.334
% Held by Institutions,0.8020999999999999
52-Wk Range,['30.33 - 67.21']
Annual Dividend $,0.36
Annual Dividend %,0.0089
Ask,40.65
Ask Size,2000.0
B/A Ratio,0.25
B/A Size,500x2000
Beta,1.3
Bid,40.31
Bid Size,500.0
Closing Price,40.46
Day Change $,0.35
Day Change %,0.0087
Day High,40.47
Day Low,39.81
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.89
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.45
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,57.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.87
Prev Close,40.11
Short Interest,0.0183
Today's Open,39.81
Volume,4615339.0
Volume 10-day Avg,14169898.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.11935483870967745
Growth 1yr High Est,0.07638888888888884
Growth 1yr Consensus Est,0.09787186379928314
Growth 2yr Low Est,-0.13772892070279819
Growth 2yr High Est,0.03819444444444442
Growth 2yr Consensus Est,-0.04976723812917688
Growth 5yr Low Est,0.01590875779114953
Growth 5yr High Est,0.12412680802103876
Growth 5yr Consensus Est,0.07001778290609414
Growth 5yr Actual/Est,0.0766869169622392
Growth 3yr Historic,0.11486366330764669
Price/Earnings (TTM),6.8673
Price/Sales (TTM),0.39047
Price/Book (MRQ),0.92984
Price/Cash Flow (TTM),2.89375
5yr Low,14.33
5yr High,67.21
5yr Avg Return,0.0054999999999999945
EPS Growth 5yr,0.0221702
Revenue Growth 5yr,-0.0316797
Dividend Growth 5yr,
Short Int Current Month,25944717.0
Short Int Prev Month,23319472.0
Short Int Pct of Float,0.0182979
Days to Cover,1.96847
Float,1349.914
Shares Outstanding,1420.697
Institutions Holding Shares,1584.0
FCF Growth 5yr,0.06886139857217839
"Price/Earnings (TTM, GAAP)",6.87
"PEG Ratio (TTM, GAAP)",0.44
Gross Profit Margin (TTM),0.12890000000000001
Operating Profit Margin (TTM),0.06269999999999999
Net Profit Margin (TTM),0.0643
Annual Dividend Yield,0.0089
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9784
EPS Growth (TTM),-0.2126
Revenue Growth (MRQ),0.1714
Revenue Growth (TTM),0.1243
Return On Equity (TTM),0.1445
Return On Assets (TTM),0.0379
Return On Investment (TTM),0.057300000000000004
Revenue Per Employee (TTM),937650.0
Total Debt/Total Capital (MRQ),0.6175
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-11-11 00:00:00
researchTeam since,2022-10-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-25 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
