,LHCG
% Below High,0.0092
% Held by Institutions,0.8194
52-Wk Range,['108.42 - 169.84']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
Ask close,205.77
B/A Ratio,
B/A Size,--
Beta,0.5
Bid,
Bid Size,
Bid close,130.01
Change Since Close,-0.78| |(-0.46%)
Closing Price,168.28
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.05
Ex-dividend Date,No dividend
Historical Volatility,0.29600000000000004
Last (size),2.0
Last (time),1:00p ET 11/25/22
Last Trade,167.5
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",82.27
Prev Close,168.28
Short Interest,0.10640000000000001
Today's Open,
Volume,4.0
Volume 10-day Avg,211363.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.28771929824561415
Growth 1yr High Est,-0.1367521367521367
Growth 1yr Consensus Est,-0.21223571749887543
Growth 2yr Low Est,-0.15740644715236368
Growth 2yr High Est,-0.03372260302953367
Growth 2yr Consensus Est,-0.09556452509094868
Growth 5yr Low Est,-0.008920500604392784
Growth 5yr High Est,0.05071540456761975
Growth 5yr Consensus Est,0.020897451981613482
Growth 5yr Actual/Est,0.030117033751635353
Growth 3yr Historic,0.06612948599445412
Price/Earnings (TTM),82.27121
Price/Sales (TTM),2.26264
Price/Book (MRQ),3.21625
Price/Cash Flow (TTM),48.8041
5yr Low,58.65
5yr High,236.81
5yr Avg Return,0.2230166666666666
EPS Growth 5yr,0.117752
Revenue Growth 5yr,0.1978546
Dividend Growth 5yr,
Short Int Current Month,3146446.0
Short Int Prev Month,3416681.0
Short Int Pct of Float,0.10635149999999999
Days to Cover,8.90926
Float,29.585
Shares Outstanding,31.033
Institutions Holding Shares,429.0
FCF Growth 5yr,-0.6584581714307437
"Price/Earnings (TTM, GAAP)",82.27
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3862
Operating Profit Margin (TTM),0.0553
Net Profit Margin (TTM),0.0362
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6338
EPS Growth (TTM),-0.49770000000000003
Revenue Growth (MRQ),0.0012
Revenue Growth (TTM),0.0643
Return On Equity (TTM),0.039
Return On Assets (TTM),0.029700000000000004
Return On Investment (TTM),0.0357
Revenue Per Employee (TTM),144252.0
Total Debt/Total Capital (MRQ),0.3024
Change in Debt/Total Capital Quarter over Quarter,0.0094
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.43
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2021-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
