,LHCG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",82.27,29.13,Valuation,2.8242361826295914
Price/Sales (TTM),2.26,1.32,Valuation,1.712121212121212
Price/Book (MRQ),3.22,4.31,Valuation,0.7470997679814386
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.3862,0.1318,Profitability,2.930197268588771
Operating Profit Margin (TTM),0.0553,0.0458,Profitability,1.2074235807860263
Net Profit Margin (TTM),0.0362,0.0242,Profitability,1.4958677685950414
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.6338,-0.1478,Gowth rates,-4.2882273342354535
EPS Growth (TTM),-0.49770000000000003,-1.101,Gowth rates,0.45204359673024525
Revenue Growth (MRQ),0.0012,0.0931,Gowth rates,0.012889366272824918
Revenue Growth (TTM),0.0643,0.1191,Gowth rates,0.5398824517212426
Return On Equity (TTM),0.039,7.2022,Effectiveness,0.005415012079642331
Return On Assets (TTM),0.029700000000000004,0.0403,Effectiveness,0.7369727047146403
Return On Investment (TTM),0.0357,0.016,Effectiveness,2.23125
Revenue Per Employee (TTM),144252.0,1375304.0,Effectiveness,0.10488735581369646
Total Debt/Total Capital (MRQ),0.3024,0.4855,Financial strength,0.6228630278063851
Change in Debt/Total Capital Quarter over Quarter,0.0094,0.0015,Financial strength,6.266666666666667
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),4.43,9.55,Financial strength,0.46387434554973817
