,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,67.19,107.51,138.58,236.81,223.8,169.84,,,,,
low,59.07,58.65,88.84,100.0,108.42,112.26,,,,,
change,-0.0713,0.522,0.4875,0.5439,-0.36,0.21600000000000003,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,10.0,8.0,27.0,11.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,349.0,377.0,342.0,332.0,Balance Sheet
Other Receivables,,,,,,,14.0,11.0,14.0,30.0,Balance Sheet
"Total Receivables, Net",,,,,,,363.0,388.0,356.0,362.0,Balance Sheet
Prepaid Expenses,,,,,,,36.0,55.0,40.0,42.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,25.0,35.0,36.0,26.0,Balance Sheet
Total Current Assets,,,,,,,433.0,485.0,460.0,440.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,252.0,258.0,263.0,264.0,Balance Sheet
Accumulated Depreciation,,,,,,,-98.0,-102.0,-107.0,-111.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,267.0,269.0,266.0,263.0,Balance Sheet
"Goodwill, Net",,,,,,,1748.0,1748.0,1751.0,1750.0,Balance Sheet
Intangibles - Gross,,,,,,,419.0,419.0,419.0,418.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-19.0,-21.0,-22.0,-23.0,Balance Sheet
Intangibles - Net,,,,,,,400.0,398.0,397.0,395.0,Balance Sheet
Other Long Term Assets,,,,,,,47.0,44.0,64.0,65.0,Balance Sheet
Total Assets,,,,,,,2896.0,2944.0,2938.0,2914.0,Balance Sheet
Payable/Accrued,,,,,,,98.0,103.0,124.0,109.0,Balance Sheet
Accrued Expenses,,,,,,,138.0,124.0,131.0,121.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,,106.0,44.0,8.0,5.0,Balance Sheet
Income Taxes Payable,,,,,,,0.0,,,,Balance Sheet
Other Payables,,,,,,,5.0,4.0,3.0,2.0,Balance Sheet
Deferred Income Tax,,,,,,,70.0,77.0,81.0,88.0,Balance Sheet
Other Current Liabilities,,,,,,,34.0,41.0,41.0,39.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,173.0,117.0,79.0,73.0,Balance Sheet
Total Current Liabilities,,,,,,,409.0,343.0,335.0,303.0,Balance Sheet
Total Long Term Debt,,,,,,,661.0,773.0,759.0,738.0,Balance Sheet
Total Debt,,,,,,,661.0,773.0,759.0,738.0,Balance Sheet
Minority Interest,,,,,,,103.0,103.0,102.0,102.0,Balance Sheet
"Other Liabilities, Total",,,,,,,86.0,85.0,84.0,83.0,Balance Sheet
Total Liabilities,,,,,,,1329.0,1381.0,1361.0,1314.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,980.0,985.0,990.0,997.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,751.0,770.0,781.0,798.0,Balance Sheet
Treasury Stock - Common,,,,,,,-165.0,-193.0,-194.0,-195.0,Balance Sheet
Total Equity,,,,,,,1566.0,1562.0,1577.0,1600.0,Balance Sheet
