,LHCG
Price/Earnings (TTM),82.27121
Price/Sales (TTM),2.26264
Price/Book (MRQ),3.21625
Price/Cash Flow (TTM),48.8041
5yr Low,58.65
5yr High,236.81
5yr Avg Return,0.2230166666666666
EPS Growth 5yr,0.117752
Revenue Growth 5yr,0.1978546
Dividend Growth 5yr,
Short Int Current Month,3146446.0
Short Int Prev Month,3416681.0
Short Int Pct of Float,0.10635149999999999
Days to Cover,8.90926
Float,29.585
Shares Outstanding,31.033
Institutions Holding Shares,429.0
% Held by Institutions,0.8194199999999999
FCF Growth 5yr,-0.6584581714307437
