,TT
% Below High,0.1461
% Held by Institutions,0.8588
52-Wk Range,['120.64 - 204.23']
Annual Dividend $,2.68
Annual Dividend %,0.015
Ask,300.0
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Change Since Close,0.00| |(0.00%)
Closing Price,174.39
Day Change $,-4.56
Day Change %,-0.0255
Day High,178.21
Day Low,173.84
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",7.02
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.31
Last (size),210.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,40.2B
"P/E Ratio (TTM, GAAP)",25.48
Prev Close,178.95
Short Interest,0.0089
Today's Open,177.53
Volume,928097.0
Volume 10-day Avg,1181189.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.18469217970049923
Growth 1yr High Est,0.18616144975288296
Growth 1yr Consensus Est,0.1854268147266911
Growth 2yr Low Est,0.10639103367047431
Growth 2yr High Est,0.1639140582097749
Growth 2yr Consensus Est,0.1351525459401246
Growth 5yr Low Est,0.07300035895988044
Growth 5yr High Est,0.09598537236943042
Growth 5yr Consensus Est,0.08449286566465543
Growth 5yr Actual/Est,0.08517751351084205
Growth 3yr Historic,0.016406959472302224
Price/Earnings (TTM),25.48151
Price/Sales (TTM),2.66115
Price/Book (MRQ),7.78322
Price/Cash Flow (TTM),20.67186
5yr Low,70.0
5yr High,207.06
5yr Avg Return,0.14681666666666668
EPS Growth 5yr,0.0156222
Revenue Growth 5yr,0.0091222
Dividend Growth 5yr,0.1165409
Short Int Current Month,2036029.0
Short Int Prev Month,1956278.0
Short Int Pct of Float,0.0088816
Days to Cover,1.24171
Float,204.7667
Shares Outstanding,230.3073
Institutions Holding Shares,1318.0
FCF Growth 5yr,0.8254105984144008
"Price/Earnings (TTM, GAAP)",25.48
"PEG Ratio (TTM, GAAP)",1.87
Gross Profit Margin (TTM),0.3093
Operating Profit Margin (TTM),0.1468
Net Profit Margin (TTM),0.1082
Annual Dividend Yield,0.015
Dividend Change %,0.11320000000000001
"Dividend Growth Rate, 3 Years",0.0639
EPS Growth (MRQ),0.0958
EPS Growth (TTM),0.2511
Revenue Growth (MRQ),0.0433
Revenue Growth (TTM),0.1266
Return On Equity (TTM),0.2691
Return On Assets (TTM),0.09330000000000001
Return On Investment (TTM),0.1286
Revenue Per Employee (TTM),418570.0
Total Debt/Total Capital (MRQ),0.45189999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),0.78
Interest Coverage (MRQ),12.56
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-12-17 00:00:00
theStreet since,2022-08-15 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-08-04 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
