,MGNI
Price/Earnings (TTM),
Price/Sales (TTM),2.43334
Price/Book (MRQ),1.68969
Price/Cash Flow (TTM),14.42597
5yr Low,1.48
5yr High,64.39
5yr Avg Return,0.6663000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.10980790000000001
Dividend Growth 5yr,
Short Int Current Month,9428818.0
Short Int Prev Month,9366965.0
Short Int Pct of Float,0.07983799999999999
Days to Cover,2.51918
Float,117.9327
Shares Outstanding,133.3847
Institutions Holding Shares,290.0
% Held by Institutions,0.6666209999999999
FCF Growth 5yr,1.0127937538651823
