,MGNI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,15.8,Valuation,
Price/Sales (TTM),2.43,2.92,Valuation,0.8321917808219179
Price/Book (MRQ),1.69,3.23,Valuation,0.523219814241486
"PEG Ratio (TTM, GAAP)",,10.23,Valuation,
Gross Profit Margin (TTM),0.5328,0.5389,Profitability,0.9886806457598812
Operating Profit Margin (TTM),-0.1432,0.14,Profitability,-1.0228571428571427
Net Profit Margin (TTM),-0.1661,0.1103,Profitability,-1.5058930190389845
Annual Dividend Yield,,0.0176,Dividend,
Dividend Change %,,0.056900000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0675,Dividend,
EPS Growth (MRQ),0.0278,0.7041,Gowth rates,0.03948302797898026
EPS Growth (TTM),-55.0959,0.0154,Gowth rates,-3577.655844155844
Revenue Growth (MRQ),0.058300000000000005,0.1423,Gowth rates,0.4096978215038651
Revenue Growth (TTM),0.44670000000000004,0.1115,Gowth rates,4.00627802690583
Return On Equity (TTM),-0.11080000000000001,0.1409,Effectiveness,-0.7863733144073812
Return On Assets (TTM),-0.0369,0.0388,Effectiveness,-0.9510309278350516
Return On Investment (TTM),-0.056900000000000006,0.049800000000000004,Effectiveness,-1.142570281124498
Revenue Per Employee (TTM),642644.0,648551.0,Effectiveness,0.9908920038670822
Total Debt/Total Capital (MRQ),0.47240000000000004,0.5946,Financial strength,0.7944836865119409
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0004,Financial strength,0.25
Quick Ratio (MRQ),,0.26,Financial strength,
Interest Coverage (MRQ),-4.2,5.53,Financial strength,-0.759493670886076
