,MGNI
% Above Low,0.8389
% Held by Institutions,0.6666
52-Wk Range,['5.59 - 19.23']
Annual Dividend $,
Annual Dividend %,
Ask,10.7
Ask Size,200.0
Ask close,12.7
B/A Ratio,1.0
B/A Size,200x200
Beta,2.1
Bid,10.02
Bid Size,200.0
Bid close,7.92
Change Since Close,0.00| |(0.00%)
Closing Price,10.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.71
Ex-dividend Date,No dividend
Historical Volatility,0.96
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,10.27
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.27
Short Interest,0.07980000000000001
Today's Open,
Volume,1.0
Volume 10-day Avg,3698637.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,1.2999999999999998
Growth 1yr High Est,0.2295081967213115
Growth 1yr Consensus Est,0.7647540983606557
Growth 2yr Low Est,0.5630434782608695
Growth 2yr High Est,0.22808743169398915
Growth 2yr Consensus Est,0.39556545497742934
Growth 5yr Low Est,0.5630434782608695
Growth 5yr High Est,0.22808743169398915
Growth 5yr Consensus Est,0.39556545497742934
Growth 5yr Actual/Est,-1.7180704099821749
Growth 3yr Historic,-1.8161764705882353
Price/Earnings (TTM),
Price/Sales (TTM),2.43334
Price/Book (MRQ),1.68969
Price/Cash Flow (TTM),14.42597
5yr Low,1.48
5yr High,64.39
5yr Avg Return,0.6663000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.10980790000000001
Dividend Growth 5yr,
Short Int Current Month,9428818.0
Short Int Prev Month,9366965.0
Short Int Pct of Float,0.07983799999999999
Days to Cover,2.51918
Float,117.9327
Shares Outstanding,133.3847
Institutions Holding Shares,290.0
FCF Growth 5yr,1.0127937538651823
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5328
Operating Profit Margin (TTM),-0.1432
Net Profit Margin (TTM),-0.1661
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0278
EPS Growth (TTM),-55.0959
Revenue Growth (MRQ),0.058300000000000005
Revenue Growth (TTM),0.44670000000000004
Return On Equity (TTM),-0.11080000000000001
Return On Assets (TTM),-0.0369
Return On Investment (TTM),-0.056900000000000006
Revenue Per Employee (TTM),642644.0
Total Debt/Total Capital (MRQ),0.47240000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-4.2
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-06-03 00:00:00
theStreet since,2022-06-03 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
marketEdge opinion since,
