,PWR
% Below High,0.037000000000000005
% Held by Institutions,0.9209999999999999
52-Wk Range,['93.91 - 151.77']
Annual Dividend $,0.28
Annual Dividend %,0.0019
Ask,146.3
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,146.18
Bid Size,200.0
Day Change $,-2.36
Day Change %,-0.0159
Day High,150.47
Day Low,146.14
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",2.93
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.397
Last (size),4.0
Last (time),11:55a ET 11/28/22
Market Cap,20.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",50.71
Prev Close,148.52
Price,146.16
Short Interest,0.0331
Today's Open,148.58
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.3241525423728815
Growth 1yr High Est,0.3793103448275863
Growth 1yr Consensus Est,0.3517314436002339
Growth 2yr Low Est,0.1836762711864407
Growth 2yr High Est,0.2448022312373226
Growth 2yr Consensus Est,0.21423925121188164
Growth 5yr Low Est,0.2140778832272897
Growth 5yr High Est,0.24702117640893484
Growth 5yr Consensus Est,0.23054952981811228
Growth 5yr Actual/Est,0.2072088307621805
Growth 3yr Historic,0.10877631558259832
Price/Earnings (TTM),50.70863
Price/Sales (TTM),1.28001
Price/Book (MRQ),4.08635
Price/Cash Flow (TTM),18.89695
5yr Low,23.77
5yr High,151.77
5yr Avg Return,0.30673333333333336
EPS Growth 5yr,0.2148174
Revenue Growth 5yr,0.1114991
Dividend Growth 5yr,
Short Int Current Month,4665934.0
Short Int Prev Month,5257057.0
Short Int Pct of Float,0.0330622
Days to Cover,3.90852
Float,141.1731
Shares Outstanding,142.9012
Institutions Holding Shares,1112.0
FCF Growth 5yr,-3.157496947496948
"Price/Earnings (TTM, GAAP)",50.71
"PEG Ratio (TTM, GAAP)",2.84
Gross Profit Margin (TTM),0.14830000000000002
Operating Profit Margin (TTM),0.0454
Net Profit Margin (TTM),0.0268
Annual Dividend Yield,0.0019
Dividend Change %,0.25
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7782
EPS Growth (TTM),-0.23
Revenue Growth (MRQ),0.0538
Revenue Growth (TTM),0.38530000000000003
Return On Equity (TTM),0.0882
Return On Assets (TTM),0.037000000000000005
Return On Investment (TTM),0.048600000000000004
Revenue Per Employee (TTM),379424.0
Total Debt/Total Capital (MRQ),0.42969999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),1.57
Interest Coverage (MRQ),12.87
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2020-06-08 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-10-29 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
