,ADM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.44,20.59,Valuation,0.6527440505099563
Price/Sales (TTM),0.54,3.73,Valuation,0.1447721179624665
Price/Book (MRQ),2.23,13.84,Valuation,0.1611271676300578
"PEG Ratio (TTM, GAAP)",1.51,0.09,Valuation,16.77777777777778
Gross Profit Margin (TTM),0.0756,0.272,Profitability,0.2779411764705882
Operating Profit Margin (TTM),0.0415,-0.0195,Profitability,-2.128205128205128
Net Profit Margin (TTM),0.04190000000000001,0.0633,Profitability,0.6619273301737758
Annual Dividend Yield,0.016399999999999998,0.022400000000000003,Dividend,0.732142857142857
Dividend Change %,0.0278,0.0626,Dividend,0.4440894568690095
"Dividend Growth Rate, 3 Years",0.0337,0.03,Dividend,1.1233333333333333
EPS Growth (MRQ),-0.1585,0.2782,Gowth rates,-0.5697340043134436
EPS Growth (TTM),0.5674,2.1703,Gowth rates,0.26143851080495784
Revenue Growth (MRQ),-0.0953,0.1463,Gowth rates,-0.6514012303485986
Revenue Growth (TTM),0.23170000000000002,0.1387,Gowth rates,1.6705118961788035
Return On Equity (TTM),0.17850000000000002,0.1827,Effectiveness,0.9770114942528737
Return On Assets (TTM),0.0748,0.0553,Effectiveness,1.352622061482821
Return On Investment (TTM),0.1208,0.06559999999999999,Effectiveness,1.8414634146341466
Revenue Per Employee (TTM),2407488.0,841800.0,Effectiveness,2.859928724162509
Total Debt/Total Capital (MRQ),0.2644,0.42450000000000004,Financial strength,0.6228504122497055
Change in Debt/Total Capital Quarter over Quarter,-0.0012,0.0048,Financial strength,-0.25
Quick Ratio (MRQ),0.93,0.77,Financial strength,1.2077922077922079
Interest Coverage (MRQ),,6.87,Financial strength,
