,ADM
% Below High,0.015
% Held by Institutions,0.7987000000000001
52-Wk Range,['61.80 - 98.88']
Annual Dividend $,1.6
Annual Dividend %,0.016399999999999998
Ask,98.28
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,96.82
Bid Size,100.0
Closing Price,97.4
Day Change $,0.62
Day Change %,0.0064
Day High,97.55
Day Low,96.85
Dividend Pay Date,2022-12-07 00:00:00
"EPS (TTM, GAAP)",7.24
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.31
Last (size),74.0
Last (time),5:00p ET 11/25/22
Market Cap,53.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.44
Prev Close,96.78
Short Interest,0.0129
Today's Open,97.27
Volume,748773.0
Volume 10-day Avg,2258753.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.5738758029978586
Growth 1yr High Est,0.4144144144144144
Growth 1yr Consensus Est,0.4941451087061365
Growth 2yr Low Est,0.1821759967370245
Growth 2yr High Est,0.1982900097549779
Growth 2yr Consensus Est,0.1902330032460012
Growth 5yr Low Est,0.26857000605513565
Growth 5yr High Est,0.28188872712995044
Growth 5yr Consensus Est,0.2752293665925431
Growth 5yr Actual/Est,0.22244752539416648
Growth 3yr Historic,0.13842678565287664
Price/Earnings (TTM),13.44453
Price/Sales (TTM),0.54206
Price/Book (MRQ),2.2283
Price/Cash Flow (TTM),10.35116
5yr Low,28.92
5yr High,98.88
5yr Avg Return,0.1756833333333333
EPS Growth 5yr,0.171692
Revenue Growth 5yr,0.0645747
Dividend Growth 5yr,0.0428362
Short Int Current Month,7063185.0
Short Int Prev Month,6713271.0
Short Int Pct of Float,0.0129367
Days to Cover,2.76992
Float,546.5659
Shares Outstanding,549.3342
Institutions Holding Shares,1448.0
FCF Growth 5yr,-1.5233841724840633
"Price/Earnings (TTM, GAAP)",13.44
"PEG Ratio (TTM, GAAP)",1.51
Gross Profit Margin (TTM),0.0756
Operating Profit Margin (TTM),0.0415
Net Profit Margin (TTM),0.04190000000000001
Annual Dividend Yield,0.016399999999999998
Dividend Change %,0.0278
"Dividend Growth Rate, 3 Years",0.0337
EPS Growth (MRQ),-0.1585
EPS Growth (TTM),0.5674
Revenue Growth (MRQ),-0.0953
Revenue Growth (TTM),0.23170000000000002
Return On Equity (TTM),0.17850000000000002
Return On Assets (TTM),0.0748
Return On Investment (TTM),0.1208
Revenue Per Employee (TTM),2407488.0
Total Debt/Total Capital (MRQ),0.2644
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-02-01 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-07-30 00:00:00
