,PDCO
% Above Low,0.2158
% Held by Institutions,0.8156
52-Wk Range,['23.87 - 35.29']
Annual Dividend $,1.04
Annual Dividend %,0.0355
Ask,29.05
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.3
Bid,28.99
Bid Size,200.0
Day Change $,-0.27
Day Change %,-0.0092
Day High,29.19
Day Low,28.72
Dividend Pay Date,2022-11-04 00:00:00
"EPS (TTM, GAAP)",1.97
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.32299999999999995
Last (size),100.0
Last (time),10:24a ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.88
Prev Close,29.29
Price,29.02
Short Interest,0.0483
Today's Open,29.08
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.03555555555555556
Growth 2yr High Est,0.10434782608695659
Growth 2yr Consensus Est,0.06995169082125607
Growth 5yr Low Est,0.03555555555555556
Growth 5yr High Est,0.10434782608695659
Growth 5yr Consensus Est,0.06995169082125607
Growth 5yr Actual/Est,0.12170475876574605
Growth 3yr Historic,0.10518493497719977
Price/Earnings (TTM),14.88041
Price/Sales (TTM),0.44492
Price/Book (MRQ),2.76656
Price/Cash Flow (TTM),10.4116
5yr Low,12.93
5yr High,38.52
5yr Avg Return,-0.0012500000000000013
EPS Growth 5yr,0.025527099999999997
Revenue Growth 5yr,0.03049
Dividend Growth 5yr,0.0119556
Short Int Current Month,4187678.0
Short Int Prev Month,4579729.0
Short Int Pct of Float,0.0482878
Days to Cover,6.94429
Float,86.7552
Shares Outstanding,97.33512
Institutions Holding Shares,356.0
FCF Growth 5yr,0.0155013093290474
"Price/Earnings (TTM, GAAP)",14.88
"PEG Ratio (TTM, GAAP)",3.67
Annual Dividend Yield,0.0355
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.6115
EPS Growth (TTM),0.15480000000000002
Revenue Growth (MRQ),-0.0705
Revenue Growth (TTM),0.0202
Return On Equity (TTM),0.1933
Return On Assets (TTM),0.0698
Return On Investment (TTM),0.11320000000000001
Revenue Per Employee (TTM),832181.0
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-09-13 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-06-29 00:00:00
ford since,2022-09-02 00:00:00
marketEdge opinion since,
