,BUSE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.9,11.43,Valuation,1.0411198600174978
Price/Sales (TTM),3.33,3.3,Valuation,1.0090909090909093
Price/Book (MRQ),1.31,1.46,Valuation,0.8972602739726028
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.3563,0.34240000000000004,Profitability,1.0405957943925233
Net Profit Margin (TTM),0.2843,0.2812,Profitability,1.0110241820768135
Annual Dividend Yield,0.0351,0.028700000000000003,Dividend,1.2229965156794425
Dividend Change %,0.0337,-0.0086,Dividend,-3.918604651162791
"Dividend Growth Rate, 3 Years",0.0434,0.0734,Dividend,0.5912806539509536
EPS Growth (MRQ),0.19640000000000002,-0.0335,Gowth rates,-5.86268656716418
EPS Growth (TTM),0.0047,-0.09960000000000001,Gowth rates,-0.04718875502008032
Revenue Growth (MRQ),0.1552,0.5429,Gowth rates,0.28587216798673787
Revenue Growth (TTM),0.09179999999999999,0.2466,Gowth rates,0.37226277372262767
Return On Equity (TTM),0.1015,0.1135,Effectiveness,0.894273127753304
Return On Assets (TTM),0.0098,0.0099,Effectiveness,0.9898989898989898
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0009,Financial strength,0.0
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
