,BUSE
% Below High,0.1177
% Held by Institutions,0.5085999999999999
52-Wk Range,['21.66 - 29.73']
Annual Dividend $,0.92
Annual Dividend %,0.0351
Ask,27.24
Ask Size,600.0
B/A Ratio,0.6666666666666666
B/A Size,400x600
Beta,0.9
Bid,24.39
Bid Size,400.0
Closing Price,26.23
Day Change $,0.15
Day Change %,0.0058
Day High,26.38
Day Low,25.7
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",2.2
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.265
Last (size),25.0
Last (time),12:59p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",11.9
Prev Close,26.08
Short Interest,0.0089
Today's Open,26.25
Volume,26535.0
Volume 10-day Avg,134712.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.09545454545454546
Growth 1yr High Est,0.13839285714285698
Growth 1yr Consensus Est,0.11692370129870122
Growth 2yr Low Est,0.08299698227084118
Growth 2yr High Est,0.14762780112044815
Growth 2yr Consensus Est,0.11531239169564467
Growth 5yr Low Est,0.08886397045503752
Growth 5yr High Est,0.11855074266548726
Growth 5yr Consensus Est,0.10370735656026239
Growth 5yr Actual/Est,0.1042158537654457
Growth 3yr Historic,0.045198854504544
Price/Earnings (TTM),11.90066
Price/Sales (TTM),3.32579
Price/Book (MRQ),1.3092
Price/Cash Flow (TTM),9.62456
5yr Low,11.0
5yr High,33.25
5yr Avg Return,-0.01555
EPS Growth 5yr,0.09450570000000001
Revenue Growth 5yr,0.1262577
Dividend Growth 5yr,0.0135796
Short Int Current Month,454223.0
Short Int Prev Month,618091.0
Short Int Pct of Float,0.0089002
Days to Cover,2.81369
Float,51.07931
Shares Outstanding,55.23243
Institutions Holding Shares,215.0
FCF Growth 5yr,0.1878753056199903
"Price/Earnings (TTM, GAAP)",11.9
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3563
Net Profit Margin (TTM),0.2843
Annual Dividend Yield,0.0351
Dividend Change %,0.0337
"Dividend Growth Rate, 3 Years",0.0434
EPS Growth (MRQ),0.19640000000000002
EPS Growth (TTM),0.0047
Revenue Growth (MRQ),0.1552
Revenue Growth (TTM),0.09179999999999999
Return On Equity (TTM),0.1015
Return On Assets (TTM),0.0098
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2020-11-16 00:00:00
marketEdge opinion since,
