,SLP
% Above Low,0.1354
% Held by Institutions,0.758
52-Wk Range,['35.18 - 67.59']
Annual Dividend $,0.24
Annual Dividend %,0.0058
Ask,40.01
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.5
Bid,39.87
Bid Size,400.0
Day Change $,-1.29
Day Change %,-0.0313
Day High,41.4
Day Low,39.68
Dividend Pay Date,2022-11-07 00:00:00
"EPS (TTM, GAAP)",0.6
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.49
Last (size),100.0
Last (time),2:33p ET 11/28/22
Market Cap,810.7M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",68.56
Prev Close,41.23
Price,39.94
Short Interest,0.0787
Today's Open,41.02
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.0862068965517242
Growth 1yr High Est,0.01538461538461533
Growth 1yr Consensus Est,0.050795755968169765
Growth 2yr Low Est,0.10659551176792559
Growth 2yr High Est,0.06829836829836822
Growth 2yr Consensus Est,0.0874469400331469
Growth 5yr Low Est,0.10659551176792559
Growth 5yr High Est,0.06829836829836822
Growth 5yr Consensus Est,0.0874469400331469
Growth 5yr Actual/Est,0.10597185283687943
Growth 3yr Historic,0.05414893617021277
Price/Earnings (TTM),68.55898
Price/Sales (TTM),15.52467
Price/Book (MRQ),4.68629
Price/Cash Flow (TTM),52.11888
5yr Low,14.25
5yr High,90.92
5yr Avg Return,0.28783333333333333
EPS Growth 5yr,0.1273303
Revenue Growth 5yr,0.1743228
Dividend Growth 5yr,0.0371373
Short Int Current Month,1265280.0
Short Int Prev Month,1453004.0
Short Int Pct of Float,0.0787408
Days to Cover,9.55181
Float,16.06892
Shares Outstanding,20.29767
Institutions Holding Shares,245.0
FCF Growth 5yr,0.8576049226765784
"Price/Earnings (TTM, GAAP)",68.56
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7992
Operating Profit Margin (TTM),0.27140000000000003
Net Profit Margin (TTM),0.2316
Annual Dividend Yield,0.0058
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.7652
EPS Growth (TTM),0.2795
Revenue Growth (MRQ),-0.21559999999999999
Revenue Growth (TTM),0.16010000000000002
Return On Equity (TTM),0.0726
Return On Assets (TTM),0.0678
Return On Investment (TTM),0.07150000000000001
Revenue Per Employee (TTM),343350.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-11-15 00:00:00
ford since,2022-01-07 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
