,SLP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",68.56,-5.17,Valuation,-13.261121856866538
Price/Sales (TTM),15.52,11.27,Valuation,1.3771073646850045
Price/Book (MRQ),4.69,5.79,Valuation,0.8100172711571676
"PEG Ratio (TTM, GAAP)",,0.15,Valuation,
Gross Profit Margin (TTM),0.7992,0.6652,Profitability,1.201443174984967
Operating Profit Margin (TTM),0.27140000000000003,-0.46950000000000003,Profitability,-0.5780617678381257
Net Profit Margin (TTM),0.2316,-0.4687,Profitability,-0.4941327074887988
Annual Dividend Yield,0.0058,0.0001,Dividend,57.99999999999999
Dividend Change %,0.0,0.0,Dividend,
"Dividend Growth Rate, 3 Years",0.0,0.0,Dividend,
EPS Growth (MRQ),-0.7652,-0.6163000000000001,Gowth rates,1.241603115365893
EPS Growth (TTM),0.2795,-0.35350000000000004,Gowth rates,-0.7906647807637907
Revenue Growth (MRQ),-0.21559999999999999,0.24050000000000002,Gowth rates,-0.8964656964656963
Revenue Growth (TTM),0.16010000000000002,0.3728,Gowth rates,0.42945278969957085
Return On Equity (TTM),0.0726,-0.09480000000000001,Effectiveness,-0.7658227848101264
Return On Assets (TTM),0.0678,-0.1218,Effectiveness,-0.5566502463054187
Return On Investment (TTM),0.07150000000000001,-0.049,Effectiveness,-1.459183673469388
Revenue Per Employee (TTM),343350.0,454654.0,Effectiveness,0.7551896607090227
Total Debt/Total Capital (MRQ),0.0,0.2084,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.009000000000000001,Financial strength,
Quick Ratio (MRQ),,0.38,Financial strength,
Interest Coverage (MRQ),,-7.93,Financial strength,
