,FANG
% Below High,0.1162
% Held by Institutions,0.9484999999999999
52-Wk Range,['95.02 - 168.95']
Annual Dividend $,3.0
Annual Dividend %,0.020099999999999996
Ask,149.94
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.0
Bid,148.57
Bid Size,200.0
Closing Price,149.32
Day Change $,-0.67
Day Change %,-0.0045000000000000005
Day High,151.89
Day Low,149.08
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",24.68
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.48100000000000004
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,26.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.05
Prev Close,149.99
Short Interest,0.0701
Today's Open,151.3
Volume,984081.0
Volume 10-day Avg,2719890.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,1.3627450980392162
Growth 1yr High Est,1.0425126903553297
Growth 1yr Consensus Est,1.202628894197273
Growth 2yr Low Est,0.5886339598079897
Growth 2yr High Est,0.5142665968086062
Growth 2yr Consensus Est,0.551450278308298
Growth 5yr Low Est,1.6045438519932052
Growth 5yr High Est,1.5278154961383
Growth 5yr Consensus Est,1.5661796740657525
Growth 5yr Actual/Est,0.8487943812011725
Growth 3yr Historic,0.5414115307207412
Price/Earnings (TTM),6.05082
Price/Sales (TTM),2.72757
Price/Book (MRQ),1.89448
Price/Cash Flow (TTM),4.46637
5yr Low,14.55
5yr High,168.95
5yr Avg Return,0.1748
EPS Growth 5yr,
Revenue Growth 5yr,0.6675686000000001
Dividend Growth 5yr,
Short Int Current Month,12273997.0
Short Int Prev Month,9711613.0
Short Int Pct of Float,0.07007590000000001
Days to Cover,4.9159
Float,175.167
Shares Outstanding,175.9986
Institutions Holding Shares,1159.0
FCF Growth 5yr,0.7493048066998993
"Price/Earnings (TTM, GAAP)",6.05
"PEG Ratio (TTM, GAAP)",0.21
Gross Profit Margin (TTM),0.8417
Operating Profit Margin (TTM),0.6748000000000001
Net Profit Margin (TTM),0.47590000000000005
Annual Dividend Yield,0.0201
Dividend Change %,0.16670000000000001
"Dividend Growth Rate, 3 Years",0.6711
EPS Growth (MRQ),-0.1636
EPS Growth (TTM),11.8036
Revenue Growth (MRQ),-0.11960000000000001
Revenue Growth (TTM),0.7379000000000001
Return On Equity (TTM),0.3433
Return On Assets (TTM),0.1973
Return On Investment (TTM),0.22280000000000003
Revenue Per Employee (TTM),11074710.0
Total Debt/Total Capital (MRQ),0.269
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),0.58
Interest Coverage (MRQ),33.85
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-02-23 00:00:00
researchTeam since,2022-11-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-02-14 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
