,RICK
% Below High,0.0492
% Held by Institutions,0.4233
52-Wk Range,['46.49 - 94.33']
Annual Dividend $,0.2
Annual Dividend %,0.0023
Ask,89.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,89.36
Bid Size,100.0
Day Change $,0.8399
Day Change %,0.0095
Day High,89.97
Day Low,88.85
Dividend Pay Date,2022-09-27 00:00:00
"EPS (TTM, GAAP)",4.01
Ex-dividend,2022-09-12 00:00:00
Ex-dividend Date,09/12/22
Historical Volatility,0.493
Last (size),100.0
Last (time),12:37p ET 11/28/22
Market Cap,828.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.13
Prev Close,88.85
Price,89.69
Short Interest,0.030299999999999997
Today's Open,88.85
Volume Past Day,(Below Average)
Next Earnings Announcement,2022-12-14 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,0.0
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,0.0
Growth 2yr Low Est,0.6438356164383561
Growth 2yr High Est,0.6941964285714284
Growth 2yr Consensus Est,0.6690160225048922
Growth 5yr Low Est,0.42922374429223736
Growth 5yr High Est,0.4627976190476189
Growth 5yr Consensus Est,0.44601068166992813
Growth 5yr Actual/Est,2.8320328409373197
Growth 3yr Historic,-0.23986258389928117
Price/Earnings (TTM),22.13321
Price/Sales (TTM),3.26983
Price/Book (MRQ),3.55278
Price/Cash Flow (TTM),17.31146
5yr Low,6.52
5yr High,94.33
5yr Avg Return,0.27203333333333335
EPS Growth 5yr,0.2482518
Revenue Growth 5yr,0.076825
Dividend Growth 5yr,0.12195510000000001
Short Int Current Month,245264.0
Short Int Prev Month,295654.0
Short Int Pct of Float,0.0302698
Days to Cover,5.09343
Float,8.10392
Shares Outstanding,9.24395
Institutions Holding Shares,136.0
FCF Growth 5yr,0.5068008231967317
"Price/Earnings (TTM, GAAP)",22.13
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6039
Operating Profit Margin (TTM),0.2279
Net Profit Margin (TTM),0.1504
Annual Dividend Yield,0.0023
Dividend Change %,0.1429
"Dividend Growth Rate, 3 Years",0.10060000000000001
EPS Growth (MRQ),0.2828
EPS Growth (TTM),0.4302
Revenue Growth (MRQ),0.11019999999999999
Revenue Growth (TTM),0.4854
Return On Equity (TTM),0.184
Return On Assets (TTM),0.0868
Return On Investment (TTM),0.09380000000000001
Revenue Per Employee (TTM),99321.0
Total Debt/Total Capital (MRQ),0.4479
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),1.58
Interest Coverage (MRQ),7.53
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-02-14 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-12-31 00:00:00
cfra since,
marketEdge opinion since,
