,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,33.78,34.84,25.71,41.33,81.65,94.33,,,,,
low,27.36,18.5,12.5,6.52,35.0,46.49,,,,,
change,-0.1316,-0.20079999999999998,-0.0885,0.9216,0.9867,0.1448,,,,,
Date,,,,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,36.0,18.0,38.0,38.0,Balance Sheet
Notes Recvble - Short Term,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Receivables,,,,,,,8.0,6.0,6.0,4.0,Balance Sheet
"Total Receivables, Net",,,,,,,8.0,6.0,7.0,4.0,Balance Sheet
Total Inventory,,,,,,,3.0,4.0,3.0,4.0,Balance Sheet
Prepaid Expenses,,,,,,,2.0,7.0,6.0,4.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,5.0,3.0,6.0,7.0,Balance Sheet
Other Current Assets,,,,,,,,1.0,1.0,1.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,5.0,4.0,7.0,8.0,Balance Sheet
Total Current Assets,,,,,,,53.0,39.0,61.0,57.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,200.0,240.0,240.0,246.0,Balance Sheet
"Goodwill, Net",,,,,,,39.0,54.0,54.0,61.0,Balance Sheet
Intangibles - Net,,,,,,,68.0,125.0,125.0,131.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,3.0,6.0,5.0,5.0,Balance Sheet
Other Long Term Assets,,,,,,,1.0,2.0,2.0,2.0,Balance Sheet
Total Assets,,,,,,,365.0,466.0,488.0,502.0,Balance Sheet
Accounts Payable,,,,,,,4.0,6.0,6.0,6.0,Balance Sheet
Accrued Expenses,,,,,,,11.0,20.0,17.0,15.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,6.0,9.0,11.0,12.0,Balance Sheet
Customer Advances,,,,,,,0.0,1.0,1.0,1.0,Balance Sheet
Other Payables,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Current Liabilities,,,,,,,23.0,36.0,35.0,34.0,Balance Sheet
Total Long Term Debt,,,,,,,119.0,153.0,167.0,176.0,Balance Sheet
Total Debt,,,,,,,125.0,162.0,178.0,188.0,Balance Sheet
Deferred Income Tax,,,,,,,19.0,22.0,22.0,24.0,Balance Sheet
Minority Interest,,,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Other Liabilities, Total",,,,,,,25.0,36.0,36.0,37.0,Balance Sheet
Total Liabilities,,,,,,,185.0,245.0,260.0,270.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,50.0,80.0,78.0,68.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,130.0,140.0,150.0,164.0,Balance Sheet
Total Equity,,,,,,,180.0,220.0,228.0,232.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,365.0,466.0,488.0,502.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,9.0,9.0,9.0,9.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Income Statement
Total Revenue,,,,,,,54941.0,61836.0,63692.0,70714.0,Income Statement
"Cost of Revenue, Total",,,,,,,22244.0,25396.0,25290.0,26569.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,13033.0,15931.0,16247.0,17158.0,Income Statement
Advertising Expense,,,,,,,2108.0,2311.0,2190.0,2407.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,15141.0,18242.0,18437.0,19565.0,Income Statement
Depreciation/Amortization,,,,,,,2041.0,2194.0,2877.0,2565.0,Income Statement
Litigation,,,,,,,1069.0,192.0,385.0,132.0,Income Statement
Impair-Assets Held for Use,,,,,,,11940.0,,0.0,1722.0,Income Statement
Other Unusual Expnse (In),,,,,,,-1111.0,-184.0,-378.0,-399.0,Income Statement
Unusual Expense (Income),,,,,,,11898.0,8.0,7.0,1455.0,Income Statement
Total Operating Expense,,,,,,,51324.0,45840.0,46611.0,50154.0,Income Statement
Total Operating Income,,,,,,,3617.0,15996.0,17081.0,20560.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-2913.0,-2604.0,-2864.0,-3028.0,Income Statement
"Inter Income, Non-Operating",,,,,,,59.0,106.0,112.0,103.0,Income Statement
"Invest Income, Non-Operat",,,,,,,-26.0,-1.0,0.0,0.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,33.0,105.0,112.0,103.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,,,0.0,74.0,Income Statement
"Other, Net",,,,,,,,,0.0,74.0,Income Statement
Income Before Tax,,,,,,,737.0,13497.0,14329.0,17709.0,Income Statement
Income Tax - Total,,,,,,,-1551.0,2933.0,3356.0,3767.0,Income Statement
Income After Tax,,,,,,,2288.0,10564.0,10973.0,13942.0,Income Statement
Minority Interest,,,,,,,12.0,11.0,-21.0,-40.0,Income Statement
Net Inc Before Extra Items,,,,,,,2300.0,10575.0,10952.0,13902.0,Income Statement
Total Net Income,,,,,,,2300.0,10575.0,10952.0,13902.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,2300.0,10575.0,10952.0,13902.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,2300.0,10575.0,10952.0,13902.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,9002.0,9408.0,9489.0,9390.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.26,1.12,1.15,1.48,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.26,1.12,1.15,1.48,Income Statement
Diluted Weighted Average Shares,,,,,,,9002.0,9408.0,9489.0,9390.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,0.26,1.12,1.15,1.48,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,0.26,1.12,1.15,1.48,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.04,0.04,0.05,0.05,Income Statement
Gross Divid - Common Stock,,,,,,,1080.0,380.0,474.0,468.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,2913.0,2604.0,2864.0,3028.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,1992.0,2144.0,2828.0,2540.0,Income Statement
Total Special Items,,,,,,,11898.0,8.0,7.0,1455.0,Income Statement
Normalzd Income Before Tax,,,,,,,12635.0,13505.0,14336.0,19164.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,4164.0,2.0,2.0,310.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,2613.0,2935.0,3358.0,4077.0,Income Statement
Normalized Income After Tax,,,,,,,10022.0,10570.0,10978.0,15088.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,10034.0,10581.0,10957.0,15048.0,Income Statement
Basic Normalized EPS,,,,,,,1.11,1.12,1.15,1.6,Income Statement
Diluted Normalized EPS,,,,,,,1.11,1.12,1.15,1.6,Income Statement
Date,,,,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Cash Flow
Net Income,,,,,,,30150.0,10564.0,21537.0,35479.0,Cash Flow
Depreciation/Depletion,,,,,,,8238.0,2194.0,5071.0,7636.0,Cash Flow
Deferred Taxes,,,,,,,-1253.0,,,-409.0,Cash Flow
Unusual Items,,,,,,,6347.0,-605.0,-1111.0,-50.0,Cash Flow
Other Non-Cash Items,,,,,,,1960.0,697.0,1427.0,2677.0,Cash Flow
Non-Cash Items,,,,,,,8307.0,92.0,316.0,2627.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,,5389.0,3.0,4008.0,8990.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,,10362.0,2330.0,5064.0,7915.0,Cash Flow
Accounts Receivable,,,,,,,-769.0,1344.0,1065.0,3411.0,Cash Flow
Inventories,,,,,,,-287.0,-445.0,-276.0,-492.0,Cash Flow
Prepaid Expenses,,,,,,,4120.0,-6519.0,-5360.0,-3271.0,Cash Flow
Payable/Accrued,,,,,,,-6515.0,9034.0,5508.0,1773.0,Cash Flow
Changes in Working Capital,,,,,,,-3451.0,3414.0,937.0,1421.0,Cash Flow
Total Cash from Operations,,,,,,,41991.0,16264.0,27861.0,46754.0,Cash Flow
Capital Expenditures,,,,,,,-13511.0,-9850.0,-13990.0,-17173.0,Cash Flow
Acquisition of Business,,,,,,,0.0,-39302.0,-39302.0,-44302.0,Cash Flow
Sale of Business,,,,,,,5415.0,803.0,2910.0,4611.0,Cash Flow
Other Investing Cash Flow,,,,,,,1282.0,219.0,567.0,642.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,6697.0,-38280.0,-35825.0,-39049.0,Cash Flow
Total Cash from Investing,,,,,,,-6814.0,-48130.0,-49815.0,-56222.0,Cash Flow
Financing Cash Flow Items,,,,,,,-1174.0,,-418.0,-445.0,Cash Flow
Total Cash Dividends Paid,,,,,,,-1440.0,-380.0,-854.0,-1322.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,-1794.0,0.0,-2845.0,-12057.0,Cash Flow
Long Term Debt Issued,,,,,,,38490.0,17002.0,35742.0,35820.0,Cash Flow
Long Term Debt Reduction,,,,,,,-49178.0,-2488.0,-7290.0,-10714.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,-10688.0,14514.0,28452.0,25106.0,Cash Flow
Total Cash From Financing,,,,,,,-15096.0,14134.0,24335.0,11282.0,Cash Flow
