,AEO
Price/Earnings (TTM),27.72562
Price/Sales (TTM),0.592
Price/Book (MRQ),2.02439
Price/Cash Flow (TTM),9.26242
5yr Low,6.54
5yr High,38.99
5yr Avg Return,0.04338333333333335
EPS Growth 5yr,0.1194683
Revenue Growth 5yr,0.06778290000000001
Dividend Growth 5yr,0.0626442
Short Int Current Month,16669290.0
Short Int Prev Month,19159743.0
Short Int Pct of Float,0.0949127
Days to Cover,3.08937
Float,175.6746
Shares Outstanding,187.4062
Institutions Holding Shares,394.0
% Held by Institutions,0.969773
FCF Growth 5yr,-0.9429710384834976
