,AEO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",27.73,19.03,Valuation,1.4571728849185497
Price/Sales (TTM),0.59,1.93,Valuation,0.30569948186528495
Price/Book (MRQ),2.02,92.12,Valuation,0.021927920104211896
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.34520000000000006,0.34390000000000004,Profitability,1.0037801686536785
Operating Profit Margin (TTM),0.0507,0.11789999999999999,Profitability,0.43002544529262093
Net Profit Margin (TTM),0.0242,0.0818,Profitability,0.29584352078239606
Annual Dividend Yield,0.045599999999999995,0.016200000000000003,Dividend,2.814814814814814
Dividend Change %,1.4636000000000002,0.2582,Dividend,5.6684740511231615
"Dividend Growth Rate, 3 Years",0.0802,0.09390000000000001,Dividend,0.8541001064962724
EPS Growth (MRQ),2.7615,-0.10800000000000001,Gowth rates,-25.56944444444444
EPS Growth (TTM),-0.6847,0.0262,Gowth rates,-26.13358778625954
Revenue Growth (MRQ),0.0354,0.0478,Gowth rates,0.7405857740585774
Revenue Growth (TTM),0.0431,0.0874,Gowth rates,0.49313501144164756
Return On Equity (TTM),0.08460000000000001,5.2054,Effectiveness,0.016252353325392863
Return On Assets (TTM),0.0326,0.1562,Effectiveness,0.20870678617157487
Return On Investment (TTM),0.0412,0.26,Effectiveness,0.15846153846153846
Revenue Per Employee (TTM),694678.0,410011.0,Effectiveness,1.6942911287745939
Total Debt/Total Capital (MRQ),0.2198,0.8926999999999999,Financial strength,0.2462193346028901
Change in Debt/Total Capital Quarter over Quarter,0.0025,0.0016,Financial strength,1.5625
Quick Ratio (MRQ),0.7,0.39,Financial strength,1.7948717948717947
Interest Coverage (MRQ),30.31,13.36,Financial strength,2.268712574850299
