,AVTR
% Above Low,0.19710000000000003
% Held by Institutions,0.9239
52-Wk Range,['17.91 - 42.48']
Annual Dividend $,
Annual Dividend %,
Ask,21.62
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.4
Bid,20.0
Bid Size,500.0
Closing Price,21.44
Day Change $,-0.09
Day Change %,-0.0042
Day High,21.78
Day Low,21.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.89
Ex-dividend Date,No dividend
Historical Volatility,0.395
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,14.5B
"P/E Ratio (TTM, GAAP)",24.07
Prev Close,21.53
Short Interest,0.013300000000000001
Today's Open,21.5
Volume,2973035.0
Volume 10-day Avg,5924647.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.014705882352941124
Growth 1yr High Est,-0.007092198581560294
Growth 1yr Consensus Est,0.003806841885690415
Growth 2yr Low Est,-0.007139812446717797
Growth 2yr High Est,0.03931104356636278
Growth 2yr Consensus Est,0.01608561555982249
Growth 5yr Low Est,0.28379151284537724
Growth 5yr High Est,0.30631646762604947
Growth 5yr Consensus Est,0.2950539902357133
Growth 5yr Actual/Est,0.28153768954796676
Growth 3yr Historic,0.2796881053855095
Price/Earnings (TTM),24.06609
Price/Sales (TTM),1.89573
Price/Book (MRQ),3.14824
Price/Cash Flow (TTM),14.35019
5yr Low,6.66
5yr High,44.37
5yr Avg Return,0.18882499999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.6060155
Dividend Growth 5yr,
Short Int Current Month,8691513.0
Short Int Prev Month,8997332.0
Short Int Pct of Float,0.0132595
Days to Cover,1.31796
Float,656.3779
Shares Outstanding,674.2044
Institutions Holding Shares,638.0
FCF Growth 5yr,0.44966127719627247
"Price/Earnings (TTM, GAAP)",24.07
"PEG Ratio (TTM, GAAP)",2.87
Gross Profit Margin (TTM),0.3457
Operating Profit Margin (TTM),0.1413
Net Profit Margin (TTM),0.08380000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0674
EPS Growth (TTM),0.1331
Revenue Growth (MRQ),-0.028300000000000002
Revenue Growth (TTM),0.0489
Return On Equity (TTM),0.15560000000000002
Return On Assets (TTM),0.050499999999999996
Return On Investment (TTM),0.056900000000000006
Revenue Per Employee (TTM),564815.0
Total Debt/Total Capital (MRQ),0.5740999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),1.07
Interest Coverage (MRQ),4.29
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2020-08-17 00:00:00
cfra since,2021-06-03 00:00:00
ford since,2019-11-08 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-09-22 00:00:00
marketEdge opinion since,
