,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,19.59,28.98,44.37,41.99,,,,,
low,13.33,6.66,26.14,17.91,,,,,
change,0.233,0.5216,0.489,-0.4883,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,302.0,284.0,238.0,266.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,1249.0,1372.0,1296.0,1258.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-26.0,-27.0,-27.0,-27.0,Balance Sheet
"Total Receivables, Net",,,,,1222.0,1345.0,1270.0,1231.0,Balance Sheet
Invent. - Finished Goods,,,,,666.0,671.0,682.0,660.0,Balance Sheet
Invent. - Work In Progress,,,,,50.0,57.0,57.0,56.0,Balance Sheet
Invent. - Raw Materials,,,,,156.0,169.0,183.0,189.0,Balance Sheet
Total Inventory,,,,,872.0,896.0,923.0,905.0,Balance Sheet
"Other Curr. Assets, Total",,,,,81.0,81.0,142.0,158.0,Balance Sheet
Total Current Assets,,,,,2477.0,2606.0,2572.0,2560.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,1151.0,1163.0,1172.0,1187.0,Balance Sheet
Accumulated Depreciation,,,,,-445.0,-463.0,-474.0,-489.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,706.0,700.0,698.0,698.0,Balance Sheet
"Goodwill, Net",,,,,5341.0,5265.0,5626.0,5511.0,Balance Sheet
Intangibles - Gross,,,,,6613.0,6565.0,5867.0,5727.0,Balance Sheet
Accum. Intangible Amort.,,,,,-1473.0,-1552.0,-1586.0,-1628.0,Balance Sheet
Intangibles - Net,,,,,5140.0,5013.0,4280.0,4099.0,Balance Sheet
Other Long Term Assets,,,,,208.0,227.0,231.0,222.0,Balance Sheet
Total Assets,,,,,13897.0,13836.0,13431.0,13113.0,Balance Sheet
Accounts Payable,,,,,755.0,818.0,799.0,769.0,Balance Sheet
Accrued Expenses,,,,,250.0,175.0,167.0,159.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,45.0,45.0,246.0,281.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,401.0,410.0,359.0,344.0,Balance Sheet
Total Current Liabilities,,,,,1451.0,1447.0,1571.0,1552.0,Balance Sheet
Total Long Term Debt,,,,,6978.0,6816.0,6293.0,5908.0,Balance Sheet
Total Debt,,,,,7023.0,6861.0,6539.0,6188.0,Balance Sheet
Deferred Income Tax,,,,,913.0,854.0,746.0,728.0,Balance Sheet
"Other Liabilities, Total",,,,,358.0,361.0,352.0,334.0,Balance Sheet
Total Liabilities,,,,,9700.0,9478.0,8961.0,8522.0,Balance Sheet
Redeemable Preferred Stock,,,,,1004.0,1004.0,0.0,0.0,Balance Sheet
Common Stock,,,,,6.0,6.0,7.0,7.0,Balance Sheet
Additional Paid-In Capital,,,,,2747.0,2743.0,3749.0,3768.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,484.0,674.0,862.0,1029.0,Balance Sheet
Cum. Trans. Adjustment,,,,,-19.0,-49.0,-133.0,-212.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,-24.0,-21.0,-21.0,-20.0,Balance Sheet
Other Comprehensive Income,,,,,0.0,0.0,5.0,21.0,Balance Sheet
"Other Equity, Total",,,,,-43.0,-69.0,-148.0,-212.0,Balance Sheet
Total Equity,,,,,4197.0,4358.0,4470.0,4591.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,13897.0,13836.0,13431.0,13113.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,610.0,610.0,674.0,674.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsry Shrs-Pref. Iss. 1,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,1908.0,1950.0,1911.0,1857.0,Income Statement
"Cost of Revenue, Total",,,,,1260.0,1261.0,1263.0,1206.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,434.0,383.0,352.0,375.0,Income Statement
Unusual Expense (Income),,,,,4.0,2.0,6.0,3.0,Income Statement
Total Operating Expense,,,,,1698.0,1645.0,1621.0,1584.0,Income Statement
Total Operating Income,,,,,210.0,305.0,290.0,273.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-61.0,-65.0,-64.0,-67.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,0.0,0.0,-1.0,1.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,-9.0,2.0,2.0,2.0,Income Statement
"Other, Net",,,,,-9.0,2.0,2.0,2.0,Income Statement
Income Before Tax,,,,,140.0,242.0,226.0,208.0,Income Statement
Income Tax - Total,,,,,46.0,51.0,39.0,41.0,Income Statement
Income After Tax,,,,,94.0,190.0,187.0,167.0,Income Statement
Net Inc Before Extra Items,,,,,94.0,190.0,187.0,167.0,Income Statement
Total Net Income,,,,,94.0,190.0,187.0,167.0,Income Statement
Total Adjust to Net Income,,,,,-16.0,-16.0,-8.0,0.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,78.0,174.0,179.0,167.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,78.0,174.0,179.0,167.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,610.0,610.0,644.0,674.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.13,0.29,0.28,0.25,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.13,0.29,0.28,0.25,Income Statement
Diluted Weighted Average Shares,,,,,619.0,681.0,680.0,679.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.13,0.26,0.26,0.25,Income Statement
Diluted EPS Incl. Extra. Items,,,,,0.13,0.26,0.26,0.25,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.78,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,61.0,65.0,64.0,67.0,Income Statement
"Depreciat/Amort, Suppl",,,,,104.0,115.0,90.0,101.0,Income Statement
Total Special Items,,,,,65.0,8.0,10.0,11.0,Income Statement
Normalzd Income Before Tax,,,,,205.0,249.0,236.0,219.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,21.0,2.0,2.0,2.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,67.0,53.0,41.0,43.0,Income Statement
Normalized Income After Tax,,,,,137.0,196.0,196.0,175.0,Income Statement
Normalzd Inc Avail to Common,,,,,121.0,180.0,187.0,175.0,Income Statement
Basic Normalized EPS,,,,,0.2,0.3,0.29,0.26,Income Statement
