,LANC
% Below High,0.0406
% Held by Institutions,0.6347999999999999
52-Wk Range,['116.85 - 214.00']
Annual Dividend $,3.4
Annual Dividend %,0.0166
Ask,
Ask Size,
Ask close,249.92
B/A Ratio,
B/A Size,--
Beta,0.2
Bid,
Bid Size,
Bid close,157.48
Change Since Close,-6.14| |(-2.99%)
Closing Price,205.32
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.51
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.32
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,199.18
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",58.53
Prev Close,205.32
Short Interest,0.042800000000000005
Today's Open,
Volume,1.0
Volume 10-day Avg,207596.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.01340033500837523
Growth 1yr High Est,0.0927152317880795
Growth 1yr Consensus Est,0.039657448389852135
Growth 2yr Low Est,0.08243395813248483
Growth 2yr High Est,0.11984246437888824
Growth 2yr Consensus Est,0.10113821125568653
Growth 5yr Low Est,0.0696684716035558
Growth 5yr High Est,0.09163765009989189
Growth 5yr Consensus Est,0.08065306085172384
Growth 5yr Actual/Est,0.07909540957058264
Growth 3yr Historic,0.0007411839699797973
Price/Earnings (TTM),58.52557
Price/Sales (TTM),3.30854
Price/Book (MRQ),6.56249
Price/Cash Flow (TTM),39.74303
5yr Low,114.55
5yr High,214.0
5yr Avg Return,0.09298333333333333
EPS Growth 5yr,-0.0496124
Revenue Growth 5yr,0.0688224
Dividend Growth 5yr,0.07938010000000001
Short Int Current Month,799096.0
Short Int Prev Month,1251683.0
Short Int Pct of Float,0.0428293
Days to Cover,3.19696
Float,18.65195
Shares Outstanding,27.553
Institutions Holding Shares,366.0
FCF Growth 5yr,-0.44942383007153003
"Price/Earnings (TTM, GAAP)",58.53
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2119
Operating Profit Margin (TTM),0.0706
Net Profit Margin (TTM),0.0565
Annual Dividend Yield,0.0166
Dividend Change %,0.0678
"Dividend Growth Rate, 3 Years",0.073
EPS Growth (MRQ),0.2926
EPS Growth (TTM),-0.2878
Revenue Growth (MRQ),-0.05940000000000001
Revenue Growth (TTM),0.1325
Return On Equity (TTM),0.1125
Return On Assets (TTM),0.0859
Return On Investment (TTM),0.10289999999999999
Revenue Per Employee (TTM),534335.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.11
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-08-30 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
