,SOND,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,114.03,Valuation,
Price/Sales (TTM),0.96,5.62,Valuation,0.17081850533807827
Price/Book (MRQ),10.14,8.49,Valuation,1.1943462897526502
"PEG Ratio (TTM, GAAP)",,0.53,Valuation,
Gross Profit Margin (TTM),0.881,0.4054,Profitability,2.1731623088307845
Operating Profit Margin (TTM),-0.7101000000000001,0.163,Profitability,-4.356441717791411
Net Profit Margin (TTM),-0.4194,0.0779,Profitability,-5.383825417201541
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),-0.7454000000000001,0.3309,Gowth rates,-2.252644303414929
EPS Growth (TTM),0.4114,2.1359,Gowth rates,0.19261201367105202
Revenue Growth (MRQ),0.026400000000000003,0.38439999999999996,Gowth rates,0.06867845993756505
Revenue Growth (TTM),1.3630000000000002,0.7695000000000001,Gowth rates,1.7712800519818064
Return On Equity (TTM),,0.19090000000000001,Effectiveness,
Return On Assets (TTM),-0.2003,0.0758,Effectiveness,-2.642480211081794
Return On Investment (TTM),-0.2812,0.1005,Effectiveness,-2.798009950248756
Revenue Per Employee (TTM),344148.0,285753.0,Effectiveness,1.2043548099232555
Total Debt/Total Capital (MRQ),0.8099,1.1596,Financial strength,0.6984304932735426
Change in Debt/Total Capital Quarter over Quarter,-0.009000000000000001,0.002,Financial strength,-4.5
Quick Ratio (MRQ),,0.81,Financial strength,
Interest Coverage (MRQ),-8.02,40.22,Financial strength,-0.19940328194927895
