,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,11.0,10.88,,,,,
low,9.69,0.901,,,,,
change,-0.008,-0.8226000000000001,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,70.0,406.0,360.0,317.0,Balance Sheet
"Trade Accts Recvble, Gross",,,9.0,5.0,8.0,7.0,Balance Sheet
Prov. for Doubtful Accts,,,-4.0,-3.0,0.0,-1.0,Balance Sheet
"Total Receivables, Net",,,5.0,1.0,7.0,6.0,Balance Sheet
Prepaid Expenses,,,8.0,18.0,12.0,8.0,Balance Sheet
Restricted Cash - Current,,,0.0,1.0,1.0,1.0,Balance Sheet
Other Current Assets,,,16.0,19.0,19.0,10.0,Balance Sheet
"Other Curr. Assets, Total",,,17.0,19.0,20.0,12.0,Balance Sheet
Total Current Assets,,,99.0,445.0,399.0,342.0,Balance Sheet
Prop./Plant/Equip. - Net,,,27.0,1169.0,1145.0,1175.0,Balance Sheet
Other Long Term Assets,,,22.0,16.0,15.0,15.0,Balance Sheet
Total Assets,,,148.0,1629.0,1559.0,1533.0,Balance Sheet
Accounts Payable,,,19.0,16.0,15.0,9.0,Balance Sheet
Accrued Expenses,,,28.0,180.0,190.0,177.0,Balance Sheet
Notes Payable/ST Debt,,,185.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,13.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,19.0,34.0,38.0,49.0,Balance Sheet
Other Current Liabilities,,,0.0,,,2.0,Balance Sheet
"Other Curr. Lblts, Total",,,19.0,34.0,38.0,52.0,Balance Sheet
Total Current Liabilities,,,264.0,230.0,244.0,238.0,Balance Sheet
Total Long Term Debt,,,11.0,157.0,161.0,167.0,Balance Sheet
Total Debt,,,208.0,157.0,161.0,167.0,Balance Sheet
"Other Liabilities, Total",,,70.0,1107.0,1052.0,1088.0,Balance Sheet
Total Liabilities,,,344.0,1494.0,1457.0,1493.0,Balance Sheet
Redeemable Preferred Stock,,,568.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,43.0,918.0,924.0,931.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-815.0,-792.0,-836.0,-911.0,Balance Sheet
"Other Equity, Total",,,7.0,9.0,14.0,19.0,Balance Sheet
Total Equity,,,-196.0,135.0,102.0,39.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,148.0,1629.0,1559.0,1533.0,Balance Sheet
Ttl Comm. Shares Outs.,,,217.0,217.0,217.0,218.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,86663.0,80466.0,121322.0,124526.0,Income Statement
"Cost of Revenue, Total",,,8793.0,10296.0,14687.0,13284.0,Income Statement
Selling/Gen/Admin Expense,,,92632.0,105734.0,105223.0,106271.0,Income Statement
Labor & Related Expense,,,4349.0,5938.0,4210.0,5550.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,96981.0,111672.0,109433.0,111821.0,Income Statement
Research & Development,,,6263.0,7625.0,8088.0,6936.0,Income Statement
Unusual Expense (Income),,,,0.0,4033.0,0.0,Income Statement
"Other Operat Expse, Total",,,43187.0,46637.0,52761.0,53753.0,Income Statement
Total Operating Expense,,,155224.0,176230.0,189002.0,185794.0,Income Statement
Total Operating Income,,,-68561.0,-95764.0,-67680.0,-61268.0,Income Statement
"Inter Expse,Net Non-Operat",,,-14462.0,-8202.0,-4382.0,-4112.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,129013.0,34655.0,-3528.0,Income Statement
OtherNon-OperatInc (Expnse),,,5726.0,-2624.0,-6251.0,-5175.0,Income Statement
"Other, Net",,,5726.0,-2624.0,-6251.0,-5175.0,Income Statement
Income Before Tax,,,-77297.0,22423.0,-43658.0,-74083.0,Income Statement
Income Tax - Total,,,16.0,31.0,117.0,416.0,Income Statement
Income After Tax,,,-77313.0,22392.0,-43775.0,-74499.0,Income Statement
Net Inc Before Extra Items,,,-77313.0,22392.0,-43775.0,-74499.0,Income Statement
Total Net Income,,,-77313.0,22392.0,-43775.0,-74499.0,Income Statement
Total Adjust to Net Income,,,,1180.0,0.0,0.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-77313.0,23572.0,-43775.0,-74499.0,Income Statement
