,SOND
% Above Low,0.9589
% Held by Institutions,0.5700999999999999
52-Wk Range,['0.901 - 10.88']
Annual Dividend $,
Annual Dividend %,
Ask,1.77
Ask Size,900.0
B/A Ratio,1.2222222222222223
B/A Size,1100x900
Beta,
Bid,1.76
Bid Size,1100.0
Day Change $,-0.055
Day Change %,-0.0302
Day High,1.83
Day Low,1.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.79
Ex-dividend Date,No dividend
Historical Volatility,1.171
Last (size),27.0
Last (time),2:54p ET 11/28/22
Market Cap,384.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.82
Price,1.77
Short Interest,0.0663
Today's Open,1.77
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.02857142857142847
Growth 2yr High Est,-0.41428571428571426
Growth 2yr Consensus Est,-0.22142857142857136
Growth 5yr Low Est,-0.02857142857142847
Growth 5yr High Est,-0.41428571428571426
Growth 5yr Consensus Est,-0.22142857142857136
Growth 5yr Actual/Est,-0.5904735982580294
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.96099
Price/Book (MRQ),10.142
Price/Cash Flow (TTM),
5yr Low,0.901
5yr High,11.0
5yr Avg Return,-0.4153
Short Int Current Month,10167230.0
Short Int Prev Month,12309063.0
Short Int Pct of Float,0.0662674
Days to Cover,8.25941
Float,157.9538
Shares Outstanding,218.0585
Institutions Holding Shares,105.0
FCF Growth 5yr,0.14778577919540226
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.881
Operating Profit Margin (TTM),-0.7101000000000001
Net Profit Margin (TTM),-0.4194
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7454000000000001
EPS Growth (TTM),0.4114
Revenue Growth (MRQ),0.026400000000000003
Revenue Growth (TTM),1.3630000000000002
Return On Equity (TTM),
Return On Assets (TTM),-0.2003
Return On Investment (TTM),-0.2812
Revenue Per Employee (TTM),344148.0
Total Debt/Total Capital (MRQ),0.8099
Change in Debt/Total Capital Quarter over Quarter,-0.009000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-8.02
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
