,IAS
% Above Low,0.457
% Held by Institutions,0.9891
52-Wk Range,['6.63 - 23.91']
Annual Dividend $,
Annual Dividend %,
Ask,10.86
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,5.19
Bid Size,100.0
Closing Price,9.66
Day Change $,-0.23
Day Change %,-0.0233
Day High,9.81
Day Low,8.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.01
Ex-dividend Date,No dividend
Historical Volatility,0.653
Last (size),18.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.89
Short Interest,0.0344
Today's Open,9.81
Volume,109345.0
Volume 10-day Avg,509907.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,2.3333333333333335
Growth 2yr High Est,1.8333333333333335
Growth 2yr Consensus Est,2.0833333333333335
Growth 5yr Low Est,2.3333333333333335
Growth 5yr High Est,1.8333333333333335
Growth 5yr Consensus Est,2.0833333333333335
Growth 5yr Actual/Est,0.3324324324324326
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.77742
Price/Book (MRQ),1.91278
Price/Cash Flow (TTM),27.56617
5yr Low,6.63
5yr High,29.68
5yr Avg Return,-0.27925
Short Int Current Month,2031557.0
Short Int Prev Month,2284291.0
Short Int Pct of Float,0.0344364
Days to Cover,3.88823
Float,153.679
Shares Outstanding,153.8284
Institutions Holding Shares,139.0
FCF Growth 5yr,0.46758738403951616
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8214
Operating Profit Margin (TTM),0.0323
Net Profit Margin (TTM),-0.0024
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6085
EPS Growth (TTM),
Revenue Growth (MRQ),0.0101
Revenue Growth (TTM),
Return On Equity (TTM),-0.0012
Return On Assets (TTM),-0.0008
Return On Investment (TTM),-0.0009
Revenue Per Employee (TTM),517612.0
Total Debt/Total Capital (MRQ),0.23120000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.48
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-08-18 00:00:00
researchTeam since,2022-08-18 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
