,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,29.68,23.0,,,,,
low,16.23,6.63,,,,,
change,0.0095,-0.568,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,73.0,82.0,77.0,74.0,Balance Sheet
"Trade Accts Recvble, Gross",,,59.0,60.0,66.0,63.0,Balance Sheet
Prov. for Doubtful Accts,,,-6.0,-6.0,-6.0,-5.0,Balance Sheet
"Trade Accts Recvble, Net",,,53.0,54.0,60.0,58.0,Balance Sheet
Other Receivables,,,36.0,36.0,34.0,35.0,Balance Sheet
"Total Receivables, Net",,,89.0,90.0,94.0,93.0,Balance Sheet
Prepaid Expenses,,,8.0,10.0,12.0,21.0,Balance Sheet
"Other Curr. Assets, Total",,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Assets,,,170.0,182.0,184.0,188.0,Balance Sheet
Buildings,,,0.0,0.0,0.0,0.0,Balance Sheet
Machinery/Equipment,,,3.0,4.0,4.0,4.0,Balance Sheet
Other Prop./Plant/Equip.,,,0.0,20.0,21.0,19.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,4.0,24.0,25.0,24.0,Balance Sheet
Accumulated Depreciation,,,-2.0,-3.0,-3.0,-3.0,Balance Sheet
Prop./Plant/Equip. - Net,,,1.0,22.0,22.0,21.0,Balance Sheet
"Goodwill, Net",,,677.0,676.0,674.0,671.0,Balance Sheet
Intangibles - Gross,,,493.0,495.0,498.0,501.0,Balance Sheet
Accum. Intangible Amort.,,,-216.0,-229.0,-241.0,-253.0,Balance Sheet
Intangibles - Net,,,276.0,267.0,257.0,248.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,1.0,1.0,1.0,1.0,Balance Sheet
Restricted Cash - LT,,,3.0,3.0,3.0,3.0,Balance Sheet
Other Long Term Assets,,,1.0,2.0,2.0,2.0,Balance Sheet
Total Assets,,,1130.0,1151.0,1142.0,1133.0,Balance Sheet
Accounts Payable,,,8.0,17.0,12.0,9.0,Balance Sheet
Accrued Expenses,,,40.0,30.0,34.0,40.0,Balance Sheet
Notes Payable/ST Debt,,,2.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,0.0,,,,Balance Sheet
Customer Advances,,,0.0,0.0,0.0,0.0,Balance Sheet
Income Taxes Payable,,,6.0,6.0,2.0,2.0,Balance Sheet
Other Payables,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,6.0,7.0,3.0,2.0,Balance Sheet
Total Current Liabilities,,,56.0,54.0,49.0,51.0,Balance Sheet
Total Long Term Debt,,,243.0,243.0,233.0,233.0,Balance Sheet
Total Debt,,,245.0,243.0,233.0,233.0,Balance Sheet
Deferred Income Tax,,,54.0,52.0,52.0,53.0,Balance Sheet
"Other Liabilities, Total",,,10.0,24.0,23.0,21.0,Balance Sheet
Total Liabilities,,,362.0,373.0,358.0,358.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,782.0,793.0,804.0,797.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-15.0,-13.0,-11.0,-11.0,Balance Sheet
"Other Equity, Total",,,0.0,-1.0,-8.0,-12.0,Balance Sheet
Total Equity,,,767.0,778.0,785.0,775.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1130.0,1151.0,1142.0,1133.0,Balance Sheet
Ttl Comm. Shares Outs.,,,154.0,155.0,155.0,153.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,102472.0,89242.0,100328.0,101343.0,Income Statement
"Cost of Revenue, Total",,,16381.0,16561.0,18132.0,19171.0,Income Statement
Selling/Gen/Admin Expense,,,38290.0,33230.0,36972.0,37362.0,Income Statement
Labor & Related Expense,,,6689.0,6547.0,8344.0,10978.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,44979.0,39777.0,45316.0,48340.0,Income Statement
Research & Development,,,19465.0,16987.0,17624.0,19459.0,Income Statement
Depreciation/Amortization,,,17188.0,12458.0,12510.0,12617.0,Income Statement
"Inter/Invest Inc, Operating",,,,,,4064.0,Income Statement
Impair-Assets Held for Use,,,,49.0,,,Income Statement
Other Unusual Expnse (In),,,6600.0,,,-6981.0,Income Statement
Unusual Expense (Income),,,6600.0,49.0,,-6981.0,Income Statement
Total Operating Expense,,,104613.0,85832.0,93582.0,96670.0,Income Statement
Total Operating Income,,,-2141.0,3410.0,6746.0,4673.0,Income Statement
"Inter Expse,Net Non-Operat",,,-1364.0,-1426.0,-1814.0,-2619.0,Income Statement
Income Before Tax,,,-3505.0,1984.0,4932.0,2054.0,Income Statement
Income Tax - Total,,,1317.0,825.0,2971.0,1287.0,Income Statement
Income After Tax,,,-4822.0,1159.0,1961.0,767.0,Income Statement
Net Inc Before Extra Items,,,-4822.0,1159.0,1961.0,767.0,Income Statement
Total Net Income,,,-4822.0,1159.0,1961.0,767.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-4822.0,1159.0,1961.0,767.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-4822.0,1159.0,1961.0,767.0,Income Statement
Basic/Primary Weighted Average Shares,,,154399.0,154477.0,155141.0,155389.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-0.03,0.01,0.01,0.0,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-0.03,0.01,0.01,0.0,Income Statement
Diluted Weighted Average Shares,,,154399.0,157159.0,156974.0,156697.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-0.03,0.01,0.01,0.0,Income Statement
Diluted EPS Incl. Extra. Items,,,-0.03,0.01,0.01,0.0,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,1364.0,1426.0,1814.0,2619.0,Income Statement
"Depreciat/Amort, Suppl",,,632.0,218.0,217.0,234.0,Income Statement
Total Special Items,,,9271.0,847.0,2129.0,-5506.0,Income Statement
Normalzd Income Before Tax,,,5766.0,2831.0,7061.0,-3452.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,3245.0,352.0,745.0,-1927.0,Income Statement
