,CUTR
Price/Earnings (TTM),
Price/Sales (TTM),3.38904
Price/Book (MRQ),54.80906
Price/Cash Flow (TTM),
5yr Low,9.07
5yr High,74.38
5yr Avg Return,0.17369999999999997
EPS Growth 5yr,-0.09732519999999999
Revenue Growth 5yr,0.14394790000000002
Dividend Growth 5yr,
Short Int Current Month,3645216.0
Short Int Prev Month,4457408.0
Short Int Pct of Float,0.19079619999999997
Days to Cover,9.41977
Float,19.10529
Shares Outstanding,19.61548
Institutions Holding Shares,238.0
% Held by Institutions,1.216028
FCF Growth 5yr,-45.35670663578213
