,CUTR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),3.39,9.8,Valuation,0.34591836734693876
Price/Book (MRQ),54.81,10.31,Valuation,5.31619786614937
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.5555,0.6196,Profitability,0.8965461588121368
Operating Profit Margin (TTM),-0.2757,0.047,Profitability,-5.865957446808511
Net Profit Margin (TTM),-0.3131,0.009300000000000001,Profitability,-33.666666666666664
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.755,-0.4858,Gowth rates,-1.5541375051461506
EPS Growth (TTM),-12.323800000000002,-0.2029,Gowth rates,60.73829472646625
Revenue Growth (MRQ),-0.022000000000000002,0.1161,Gowth rates,-0.18949181739879417
Revenue Growth (TTM),0.16280000000000003,0.18300000000000002,Gowth rates,0.8896174863387979
Return On Equity (TTM),-2.216,0.1068,Effectiveness,-20.749063670411985
Return On Assets (TTM),-0.22530000000000003,0.0622,Effectiveness,-3.6221864951768494
Return On Investment (TTM),-0.2933,0.0732,Effectiveness,-4.006830601092896
Revenue Per Employee (TTM),543764.0,403586.0,Effectiveness,1.3473311760070963
Total Debt/Total Capital (MRQ),0.9512,0.3161,Financial strength,3.0091743119266057
Change in Debt/Total Capital Quarter over Quarter,0.004,0.0125,Financial strength,0.32
Quick Ratio (MRQ),3.16,2.25,Financial strength,1.4044444444444446
Interest Coverage (MRQ),-5.42,14.99,Financial strength,-0.36157438292194793
