,CUTR
% Above Low,0.3697
% Held by Institutions,1.216
52-Wk Range,['31.62 - 74.38']
Annual Dividend $,
Annual Dividend %,
Ask,49.28
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.7
Bid,33.2
Bid Size,500.0
Closing Price,43.31
Day Change $,0.59
Day Change %,0.0138
Day High,43.32
Day Low,42.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.2
Ex-dividend Date,No dividend
Historical Volatility,0.6709999999999999
Last (size),8.0
Last (time),12:59p ET 11/25/22
Market Cap,849.1M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,42.72
Short Interest,0.19079999999999997
Today's Open,42.83
Volume,57536.0
Volume 10-day Avg,297076.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-3.235294117647059
Growth 1yr High Est,-1.8125
Growth 1yr Consensus Est,-2.5238970588235294
Growth 2yr Low Est,-1.4005417956656347
Growth 2yr High Est,-1.5985576923076923
Growth 2yr Consensus Est,-1.4995497439866634
Growth 5yr Low Est,-0.29642474398666346
Growth 5yr High Est,-0.33499313186813184
Growth 5yr Consensus Est,-0.3157089379273976
Growth 5yr Actual/Est,-2.0833390359163553
Growth 3yr Historic,-1.374074074074074
Price/Earnings (TTM),
Price/Sales (TTM),3.38904
Price/Book (MRQ),54.80906
Price/Cash Flow (TTM),
5yr Low,9.07
5yr High,74.38
5yr Avg Return,0.17369999999999997
EPS Growth 5yr,-0.09732519999999999
Revenue Growth 5yr,0.14394790000000002
Dividend Growth 5yr,
Short Int Current Month,3645216.0
Short Int Prev Month,4457408.0
Short Int Pct of Float,0.19079619999999997
Days to Cover,9.41977
Float,19.10529
Shares Outstanding,19.61548
Institutions Holding Shares,238.0
FCF Growth 5yr,-45.35670663578213
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5555
Operating Profit Margin (TTM),-0.2757
Net Profit Margin (TTM),-0.3131
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.755
EPS Growth (TTM),-12.323800000000002
Revenue Growth (MRQ),-0.022000000000000002
Revenue Growth (TTM),0.16280000000000003
Return On Equity (TTM),-2.216
Return On Assets (TTM),-0.22530000000000003
Return On Investment (TTM),-0.2933
Revenue Per Employee (TTM),543764.0
Total Debt/Total Capital (MRQ),0.9512
Change in Debt/Total Capital Quarter over Quarter,0.004
Quick Ratio (MRQ),3.16
Interest Coverage (MRQ),-5.42
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-06-24 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-07-08 00:00:00
