,MPLN
% Above Low,0.09730000000000001
% Held by Institutions,0.9113
52-Wk Range,['1.41 - 6.19']
Annual Dividend $,
Annual Dividend %,
Ask,1.64
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,1.55
Bid Size,100.0
Closing Price,1.55
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.16
Ex-dividend Date,No dividend
Historical Volatility,0.752
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,997.0M
"P/E Ratio (TTM, GAAP)",9.71
Prev Close,1.55
Short Interest,0.0351
Today's Open,
Volume,1062587.0
Volume 10-day Avg,2334683.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.7647058823529411
Growth 1yr High Est,-0.47058823529411775
Growth 1yr Consensus Est,-0.6176470588235294
Growth 2yr Low Est,-1.3823529411764706
Growth 2yr High Est,-0.013071895424836555
Growth 2yr Consensus Est,-0.6977124183006536
Growth 5yr Low Est,-1.3823529411764706
Growth 5yr High Est,-0.013071895424836555
Growth 5yr Consensus Est,-0.6977124183006536
Growth 5yr Actual/Est,1.9583333333333333
Growth 3yr Historic,2.3333333333333335
Price/Earnings (TTM),9.70935
Price/Sales (TTM),0.87137
Price/Book (MRQ),0.40649
Price/Cash Flow (TTM),1.94275
5yr Low,1.41
5yr High,12.93
5yr Avg Return,-0.4225666666666667
Short Int Current Month,18070830.0
Short Int Prev Month,21026778.0
Short Int Pct of Float,0.0351156
Days to Cover,5.67064
Float,600.1243
Shares Outstanding,639.1232
Institutions Holding Shares,173.0
FCF Growth 5yr,0.039718146553624045
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",9.71
"PEG Ratio (TTM, GAAP)",0.43
Gross Profit Margin (TTM),0.8270000000000001
Operating Profit Margin (TTM),0.317
Net Profit Margin (TTM),0.08990000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.46090000000000003
EPS Growth (TTM),1.1641
Revenue Growth (MRQ),-0.1368
Revenue Growth (TTM),-0.353
Return On Equity (TTM),0.0426
Return On Assets (TTM),0.0124
Return On Investment (TTM),0.012700000000000001
Revenue Per Employee (TTM),473700.0
Total Debt/Total Capital (MRQ),0.6674
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.37
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-02-22 00:00:00
theStreet since,2022-02-22 00:00:00
ford since,2022-05-13 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
