,LRCX
Price/Earnings (TTM),12.99813
Price/Sales (TTM),3.43474
Price/Book (MRQ),8.33875
Price/Cash Flow (TTM),11.9308
5yr Low,122.64
5yr High,731.85
5yr Avg Return,0.2542166666666667
EPS Growth 5yr,0.28800180000000003
Revenue Growth 5yr,0.1654037
Dividend Growth 5yr,0.31059149999999996
Short Int Current Month,3513929.0
Short Int Prev Month,3298872.0
Short Int Pct of Float,0.0258449
Days to Cover,1.59568
Float,136.0233
Shares Outstanding,136.3793
Institutions Holding Shares,1778.0
% Held by Institutions,0.8423900000000001
FCF Growth 5yr,-0.022988771895328775
