,LRCX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.0,20.56,Valuation,0.6322957198443581
Price/Sales (TTM),3.43,7.41,Valuation,0.4628879892037787
Price/Book (MRQ),8.34,13.13,Valuation,0.6351865955826351
"PEG Ratio (TTM, GAAP)",1.7,0.9,Valuation,1.8888888888888888
Gross Profit Margin (TTM),0.45740000000000003,0.5489,Profitability,0.8333029695755146
Operating Profit Margin (TTM),0.3171,0.25739999999999996,Profitability,1.231934731934732
Net Profit Margin (TTM),0.2696,0.2224,Profitability,1.2122302158273381
Annual Dividend Yield,0.0152,0.014499999999999999,Dividend,1.0482758620689656
Dividend Change %,0.1485,0.0676,Dividend,2.1967455621301775
"Dividend Growth Rate, 3 Years",0.0965,0.091,Dividend,1.0604395604395604
EPS Growth (MRQ),0.1889,1.5356,Gowth rates,0.12301380567856213
EPS Growth (TTM),0.1775,0.2274,Gowth rates,0.7805628847845206
Revenue Growth (MRQ),0.09460000000000002,0.1335,Gowth rates,0.708614232209738
Revenue Growth (TTM),0.1424,0.24170000000000003,Gowth rates,0.5891601158460901
Return On Equity (TTM),0.7333,0.36920000000000003,Effectiveness,1.986186348862405
Return On Assets (TTM),0.28300000000000003,0.16010000000000002,Effectiveness,1.7676452217364147
Return On Investment (TTM),0.37570000000000003,0.1925,Effectiveness,1.951688311688312
Revenue Per Employee (TTM),1016762.0,898550.0,Effectiveness,1.1315586222246954
Total Debt/Total Capital (MRQ),0.40299999999999997,0.3576,Financial strength,1.1269574944071588
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001,0.0,Financial strength,-inf
Quick Ratio (MRQ),1.83,2.24,Financial strength,0.8169642857142857
Interest Coverage (MRQ),70.23,15.8,Financial strength,4.44493670886076
