,LRCX
% Above Low,0.5129
% Held by Institutions,0.8423999999999999
52-Wk Range,['299.59 - 731.85']
Annual Dividend $,6.9
Annual Dividend %,0.0152
Ask,452.9
Ask Size,100.0
Ask close,481.8
B/A Ratio,3.0
B/A Size,300x100
Beta,1.4
Bid,421.2
Bid Size,300.0
Bid close,426.52
Change Since Close,-6.24| |(-1.38%)
Closing Price,453.25
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",34.87
Ex-dividend,2022-12-13 00:00:00
Ex-dividend Date,12/13/22
Historical Volatility,0.537
Last (size),6.0
Last (time),1:00p ET 11/25/22
Last Trade,447.01
Market Cap,61.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.0
Prev Close,453.25
Short Interest,0.0258
Today's Open,
Volume,188.0
Volume 10-day Avg,1884269.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.07458386683738794
Growth 1yr High Est,0.2822531798909751
Growth 1yr Consensus Est,0.10383465652679358
Growth 2yr Low Est,-0.1633728742696106
Growth 2yr High Est,0.18541095461246915
Growth 2yr Consensus Est,0.011019040171429267
Growth 5yr Low Est,-0.013009780977761879
Growth 5yr High Est,0.1919771327586778
Growth 5yr Consensus Est,0.08948367589045797
Growth 5yr Actual/Est,0.19513886461875188
Growth 3yr Historic,0.2311052684801294
Price/Earnings (TTM),12.99813
Price/Sales (TTM),3.43474
Price/Book (MRQ),8.33875
Price/Cash Flow (TTM),11.9308
5yr Low,122.64
5yr High,731.85
5yr Avg Return,0.2542166666666667
EPS Growth 5yr,0.28800180000000003
Revenue Growth 5yr,0.1654037
Dividend Growth 5yr,0.31059149999999996
Short Int Current Month,3513929.0
Short Int Prev Month,3298872.0
Short Int Pct of Float,0.0258449
Days to Cover,1.59568
Float,136.0233
Shares Outstanding,136.3793
Institutions Holding Shares,1778.0
FCF Growth 5yr,-0.022988771895328775
"Price/Earnings (TTM, GAAP)",13.0
"PEG Ratio (TTM, GAAP)",1.7
Gross Profit Margin (TTM),0.45740000000000003
Operating Profit Margin (TTM),0.3171
Net Profit Margin (TTM),0.2696
Annual Dividend Yield,0.0152
Dividend Change %,0.1485
"Dividend Growth Rate, 3 Years",0.0965
EPS Growth (MRQ),0.1889
EPS Growth (TTM),0.1775
Revenue Growth (MRQ),0.09460000000000002
Revenue Growth (TTM),0.1424
Return On Equity (TTM),0.7333
Return On Assets (TTM),0.28300000000000003
Return On Investment (TTM),0.37570000000000003
Revenue Per Employee (TTM),1016762.0
Total Debt/Total Capital (MRQ),0.40299999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),1.83
Interest Coverage (MRQ),70.23
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2013-05-23 00:00:00
newConstructs since,2022-11-28 00:00:00
cfra since,2022-01-27 00:00:00
ford since,2022-06-17 00:00:00
marketEdge opinion since,
