,AMRK
% Below High,0.2311
% Held by Institutions,0.4932
52-Wk Range,['23.71 - 44.60']
Annual Dividend $,0.8
Annual Dividend %,0.0233
Ask,34.35
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,-0.2
Bid,32.5
Bid Size,300.0
Closing Price,34.29
Day Change $,0.41
Day Change %,0.0121
Day High,34.46
Day Low,33.5
Dividend Pay Date,2022-10-24 00:00:00
"EPS (TTM, GAAP)",6.19
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.557
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,804.2M
"P/E Ratio (TTM, GAAP)",5.54
Prev Close,33.88
Short Interest,0.0143
Today's Open,34.14
Volume,34068.0
Volume 10-day Avg,180312.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.09879032258064524
Growth 1yr High Est,0.20475319926873858
Growth 1yr Consensus Est,0.1517717609246919
Growth 2yr Low Est,0.020037363125185004
Growth 2yr High Est,-0.008397300213885628
Growth 2yr Consensus Est,0.005820031455649688
Growth 5yr Low Est,0.020037363125185004
Growth 5yr High Est,-0.008397300213885628
Growth 5yr Consensus Est,0.005820031455649688
Growth 5yr Actual/Est,0.6465362261314641
Growth 3yr Historic,0.6584302325581395
Price/Earnings (TTM),5.54252
Price/Sales (TTM),0.09996
Price/Book (MRQ),1.59277
Price/Cash Flow (TTM),4.60889
5yr Low,3.74
5yr High,44.6
5yr Avg Return,0.5043166666666667
EPS Growth 5yr,0.6139115
Revenue Growth 5yr,0.031429
Dividend Growth 5yr,
Short Int Current Month,255225.0
Short Int Prev Month,415632.0
Short Int Pct of Float,0.0143216
Days to Cover,0.96473
Float,17.82097
Shares Outstanding,23.45334
Institutions Holding Shares,166.0
FCF Growth 5yr,-2.3177419246398685
"Price/Earnings (TTM, GAAP)",5.54
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0351
Operating Profit Margin (TTM),0.023799999999999998
Net Profit Margin (TTM),0.0189
Annual Dividend Yield,0.0233
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.19920000000000002
EPS Growth (TTM),-0.247
Revenue Growth (MRQ),-0.0907
Revenue Growth (TTM),0.0367
Return On Equity (TTM),0.3465
Return On Assets (TTM),0.12240000000000001
Return On Investment (TTM),0.2736
Revenue Per Employee (TTM),20952170.0
Total Debt/Total Capital (MRQ),0.4316
Change in Debt/Total Capital Quarter over Quarter,-0.0034000000000000002
Quick Ratio (MRQ),0.57
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2021-09-21 00:00:00
newConstructs since,
marketEdge opinion since,
