,BLI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),2.28,6.06,Valuation,0.37623762376237624
Price/Book (MRQ),1.21,6.22,Valuation,0.1945337620578778
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.6878000000000001,0.5095000000000001,Profitability,1.3499509322865555
Operating Profit Margin (TTM),-1.0265,0.0332,Profitability,-30.91867469879518
Net Profit Margin (TTM),-1.0302,-0.0454,Profitability,22.691629955947135
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),0.1673,-0.5094,Gowth rates,-0.32842559874362
EPS Growth (TTM),-0.2732,-0.2377,Gowth rates,1.1493479175431216
Revenue Growth (MRQ),0.1174,0.1691,Gowth rates,0.6942637492607925
Revenue Growth (TTM),-0.0001,0.1222,Gowth rates,-0.0008183306055646482
Return On Equity (TTM),-0.4571,1.1042,Effectiveness,-0.41396486143814526
Return On Assets (TTM),-0.3226,0.0644,Effectiveness,-5.009316770186335
Return On Investment (TTM),-0.3701,0.0802,Effectiveness,-4.614713216957606
Revenue Per Employee (TTM),286485.0,335561.0,Effectiveness,0.853749392807865
Total Debt/Total Capital (MRQ),0.11130000000000001,0.3893,Financial strength,0.285897765219625
Change in Debt/Total Capital Quarter over Quarter,0.0029,0.0252,Financial strength,0.11507936507936507
Quick Ratio (MRQ),4.81,1.51,Financial strength,3.1854304635761586
Interest Coverage (MRQ),-2559.75,33.07,Financial strength,-77.40399153311158
