,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,113.53,98.39,19.34,,,,,
low,50.26,16.89,1.83,,,,,
change,0.7514000000000001,-0.7991,-0.8483,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,178096.0,164674.0,143024.0,120640.0,Balance Sheet
Short Term Investments,,,,,,9361.0,14075.0,Balance Sheet
Cash and Short Term Invs,,,,178096.0,164674.0,152385.0,134715.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,25942.0,17721.0,13815.0,,Balance Sheet
Prov. for Doubtful Accts,,,,0.0,0.0,0.0,,Balance Sheet
"Total Receivables, Net",,,,27678.0,19617.0,17580.0,21557.0,Balance Sheet
Invent. - Finished Goods,,,,6251.0,6804.0,4803.0,4275.0,Balance Sheet
Invent. - Raw Materials,,,,8296.0,8861.0,10861.0,11431.0,Balance Sheet
Total Inventory,,,,14547.0,15665.0,15664.0,15706.0,Balance Sheet
Prepaid Expenses,,,,2944.0,1640.0,399.0,2414.0,Balance Sheet
"Other Curr. Assets, Total",,,,7305.0,6768.0,6442.0,6569.0,Balance Sheet
Total Current Assets,,,,230570.0,208364.0,192470.0,180961.0,Balance Sheet
Land/Improvements,,,,6105.0,10750.0,10820.0,10828.0,Balance Sheet
Machinery/Equipment,,,,36991.0,39895.0,41528.0,41630.0,Balance Sheet
Construction in Progress,,,,4803.0,756.0,778.0,809.0,Balance Sheet
Other Prop./Plant/Equip.,,,,27951.0,27280.0,26479.0,26138.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,75850.0,78681.0,79605.0,79405.0,Balance Sheet
Accumulated Depreciation,,,,-21798.0,-23443.0,-25766.0,-27583.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,54052.0,55238.0,53839.0,51822.0,Balance Sheet
Note Rcvble - Long Term,,,,1070.0,571.0,996.0,681.0,Balance Sheet
Other Long Term Assets,,,,1291.0,1414.0,1401.0,1420.0,Balance Sheet
Total Assets,,,,287253.0,265857.0,248706.0,234884.0,Balance Sheet
Accounts Payable,,,,8198.0,8015.0,8499.0,7921.0,Balance Sheet
Accrued Expenses,,,,11287.0,9275.0,11285.0,14819.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,0.0,0.0,,2483.0,Balance Sheet
Customer Advances,,,,12128.0,9780.0,8694.0,7733.0,Balance Sheet
Other Current Liabilities,,,,1138.0,641.0,660.0,1424.0,Balance Sheet
"Other Curr. Lblts, Total",,,,13266.0,10421.0,9354.0,9157.0,Balance Sheet
Total Current Liabilities,,,,32751.0,27711.0,29138.0,34380.0,Balance Sheet
Total Long Term Debt,,,,19762.0,19778.0,19794.0,17327.0,Balance Sheet
Total Debt,,,,19762.0,19778.0,19794.0,19810.0,Balance Sheet
"Other Liabilities, Total",,,,26524.0,25167.0,25358.0,24994.0,Balance Sheet
Total Liabilities,,,,79037.0,72656.0,74290.0,76701.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,,,,Balance Sheet
Common Stock,,,,4.0,4.0,4.0,4.0,Balance Sheet
Additional Paid-In Capital,,,,471820.0,478231.0,485212.0,490544.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-263608.0,-285034.0,-310781.0,-332347.0,Balance Sheet
"Other Equity, Total",,,,,,-19.0,-18.0,Balance Sheet
Total Equity,,,,208216.0,193201.0,174416.0,158183.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,287253.0,265857.0,248706.0,234884.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,67596.0,67820.0,68274.0,68575.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,23186.0,20206.0,19150.0,21398.0,Income Statement
"Cost of Revenue, Total",,,,7227.0,6379.0,6224.0,6373.0,Income Statement
Selling/Gen/Admin Expense,,,,14405.0,13766.0,16090.0,22727.0,Income Statement
Labor & Related Expense,,,,3569.0,3761.0,4205.0,3798.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,17974.0,17527.0,20295.0,26525.0,Income Statement
Research & Development,,,,15796.0,17573.0,18178.0,8978.0,Income Statement
Unusual Expense (Income),,,,,,,1058.0,Income Statement
Total Operating Expense,,,,40997.0,41479.0,44697.0,42934.0,Income Statement
Total Operating Income,,,,-17811.0,-21273.0,-25547.0,-21536.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-229.0,-224.0,-227.0,-229.0,Income Statement
"Inter Income, Non-Operating",,,,33.0,34.0,53.0,465.0,Income Statement
"Invest Income, Non-Operat",,,,123.0,57.0,-22.0,-244.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,156.0,91.0,31.0,221.0,Income Statement
Income Before Tax,,,,-17884.0,-21406.0,-25743.0,-21544.0,Income Statement
Income Tax - Total,,,,-152.0,20.0,4.0,22.0,Income Statement
Income After Tax,,,,-17732.0,-21426.0,-25747.0,-21566.0,Income Statement
Net Inc Before Extra Items,,,,-17732.0,-21426.0,-25747.0,-21566.0,Income Statement
Total Net Income,,,,-17732.0,-21426.0,-25747.0,-21566.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-17732.0,-21426.0,-25747.0,-21566.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-17732.0,-21426.0,-25747.0,-21566.0,Income Statement
Basic/Primary Weighted Average Shares,,,,67544.0,67697.0,67986.0,68384.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.26,-0.32,-0.38,-0.32,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.26,-0.32,-0.38,-0.32,Income Statement
Diluted Weighted Average Shares,,,,67544.0,67697.0,67986.0,68384.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.26,-0.32,-0.38,-0.32,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.26,-0.32,-0.38,-0.32,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,229.0,224.0,227.0,229.0,Income Statement
"Depreciat/Amort, Suppl",,,,1641.0,1944.0,2487.0,2149.0,Income Statement
Total Special Items,,,,100.0,,,1058.0,Income Statement
