,BLI
% Above Low,0.5288
% Held by Institutions,0.6973999999999999
52-Wk Range,['1.83 - 21.69']
Annual Dividend $,
Annual Dividend %,
Ask,3.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,2.67
Bid Size,100.0
Closing Price,2.79
Day Change $,0.05
Day Change %,0.0182
Day High,2.82
Day Low,2.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.27
Ex-dividend Date,No dividend
Historical Volatility,1.119
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,192.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.74
Short Interest,0.0395
Today's Open,2.72
Volume,95301.0
Volume 10-day Avg,775244.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.16379310344827602
Growth 1yr High Est,0.05319148936170226
Growth 1yr Consensus Est,0.10849229640498914
Growth 2yr Low Est,0.03374840357598985
Growth 2yr High Est,-0.19562647754137108
Growth 2yr Consensus Est,-0.08093903698269062
Growth 5yr Low Est,0.03374840357598985
Growth 5yr High Est,-0.19562647754137108
Growth 5yr Consensus Est,-0.08093903698269062
Growth 5yr Actual/Est,-0.10934504428977143
Growth 3yr Historic,-0.07434052757793763
Price/Earnings (TTM),
Price/Sales (TTM),2.2793
Price/Book (MRQ),1.20951
Price/Cash Flow (TTM),
5yr Low,1.83
5yr High,113.53
5yr Avg Return,-0.29866666666666664
Short Int Current Month,2300935.0
Short Int Prev Month,2577229.0
Short Int Pct of Float,0.0394737
Days to Cover,1.64345
Float,58.15094
Shares Outstanding,68.57496
Institutions Holding Shares,155.0
FCF Growth 5yr,0.2522971151917962
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6878000000000001
Operating Profit Margin (TTM),-1.0265
Net Profit Margin (TTM),-1.0302
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1673
EPS Growth (TTM),-0.2732
Revenue Growth (MRQ),0.1174
Revenue Growth (TTM),-0.0001
Return On Equity (TTM),-0.4571
Return On Assets (TTM),-0.3226
Return On Investment (TTM),-0.3701
Revenue Per Employee (TTM),286485.0
Total Debt/Total Capital (MRQ),0.11130000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0029
Quick Ratio (MRQ),4.81
Interest Coverage (MRQ),-2559.75
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-18 00:00:00
cfra since,
theStreet since,
newConstructs since,
researchTeam since,
marketEdge opinion since,
