,THC
% Above Low,0.21170000000000003
% Held by Institutions,0.9843999999999999
52-Wk Range,['36.69 - 92.65']
Annual Dividend $,
Annual Dividend %,
Ask,44.65
Ask Size,2100.0
B/A Ratio,0.23809523809523808
B/A Size,500x2100
Beta,2.2
Bid,43.0
Bid Size,500.0
Change Since Close,0.00| |(0.00%)
Closing Price,44.46
Day Change $,-1.59
Day Change %,-0.0345
Day High,45.59
Day Low,43.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.08
Ex-dividend Date,No dividend
Historical Volatility,0.653
Last (size),1.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,4.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.07
Prev Close,46.05
Short Interest,0.0379
Today's Open,45.5
Volume,969628.0
Volume 10-day Avg,1597321.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,1.7860465116279074
Growth 1yr High Est,1.1827586206896554
Growth 1yr Consensus Est,1.4844025661587814
Growth 2yr Low Est,0.7811701673331524
Growth 2yr High Est,0.6356131176118103
Growth 2yr Consensus Est,0.7083916424724813
Growth 5yr Low Est,0.3905850836665762
Growth 5yr High Est,0.31780655880590514
Growth 5yr Consensus Est,0.35419582123624066
Growth 5yr Actual/Est,0.41673659501453
Growth 3yr Historic,0.47807364691693044
Price/Earnings (TTM),9.06796
Price/Sales (TTM),0.26151
Price/Book (MRQ),4.02514
Price/Cash Flow (TTM),2.52105
5yr Low,10.0
5yr High,92.65
5yr Avg Return,0.35451666666666676
EPS Growth 5yr,
Revenue Growth 5yr,-0.0013901
Dividend Growth 5yr,
Short Int Current Month,4030616.0
Short Int Prev Month,4346952.0
Short Int Pct of Float,0.0379073
Days to Cover,1.71144
Float,106.5775
Shares Outstanding,108.1232
Institutions Holding Shares,482.0
FCF Growth 5yr,0.7927216618997441
"Price/Earnings (TTM, GAAP)",9.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8293
Operating Profit Margin (TTM),0.12810000000000002
Net Profit Margin (TTM),0.0602
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.4116
EPS Growth (TTM),-0.4852
Revenue Growth (MRQ),0.0351
Revenue Growth (TTM),-0.0258
Return On Equity (TTM),0.5703
Return On Assets (TTM),0.0433
Return On Investment (TTM),0.061900000000000004
Revenue Per Employee (TTM),247801.0
Total Debt/Total Capital (MRQ),0.7674
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.31
Interest Coverage (MRQ),3.08
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-13 00:00:00
theStreet since,2022-07-25 00:00:00
cfra since,2022-03-14 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
