,WSFS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.35,10.14,Valuation,1.415187376725838
Price/Sales (TTM),3.61,3.47,Valuation,1.0403458213256482
Price/Book (MRQ),1.41,9.31,Valuation,0.15145005370569278
"PEG Ratio (TTM, GAAP)",,4.08,Valuation,
Gross Profit Margin (TTM),,0.1227,Profitability,
Operating Profit Margin (TTM),0.3177,0.4806,Profitability,0.6610486891385767
Net Profit Margin (TTM),0.2378,0.36590000000000006,Profitability,0.6499043454495763
Annual Dividend Yield,0.0125,0.028300000000000002,Dividend,0.4416961130742049
Dividend Change %,0.0625,0.0643,Dividend,0.9720062208398135
"Dividend Growth Rate, 3 Years",0.0669,0.11699999999999999,Dividend,0.5717948717948719
EPS Growth (MRQ),0.22829999999999998,-0.049,Gowth rates,-4.659183673469387
EPS Growth (TTM),-0.41500000000000004,0.024900000000000002,Gowth rates,-16.666666666666668
Revenue Growth (MRQ),0.1659,-0.0564,Gowth rates,-2.9414893617021276
Revenue Growth (TTM),0.2706,-0.10250000000000001,Gowth rates,-2.6399999999999997
Return On Equity (TTM),0.0968,0.1595,Effectiveness,0.6068965517241379
Return On Assets (TTM),0.011000000000000001,0.0533,Effectiveness,0.20637898686679176
Return On Investment (TTM),,0.07740000000000001,Effectiveness,
Revenue Per Employee (TTM),,656704.0,Effectiveness,
Total Debt/Total Capital (MRQ),,0.2934,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0022,-0.0009,Financial strength,-2.4444444444444446
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,6.57,Financial strength,
