,WSFS
% Below High,0.1604
% Held by Institutions,0.8995000000000001
52-Wk Range,['37.03 - 56.30']
Annual Dividend $,0.6
Annual Dividend %,0.0125
Ask,47.66
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,47.01
Bid Size,100.0
Closing Price,47.27
Day Change $,-0.67
Day Change %,-0.013999999999999999
Day High,47.57
Day Low,46.81
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",3.34
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.307
Last (size),3.0
Last (time),3:59p ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.35
Prev Close,47.94
Short Interest,0.0216
Today's Open,47.36
Volume,194837.0
Volume 10-day Avg,218948.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.17260273972602747
Growth 1yr High Est,0.15363881401617263
Growth 1yr Consensus Est,0.16312077687110005
Growth 2yr Low Est,0.18209576238637815
Growth 2yr High Est,0.2158380985968713
Growth 2yr Consensus Est,0.19896693049162473
Growth 5yr Low Est,0.09104788119318907
Growth 5yr High Est,0.10791904929843565
Growth 5yr Consensus Est,0.09948346524581236
Growth 5yr Actual/Est,0.36246518032760844
Growth 3yr Historic,0.3645847915558418
Price/Earnings (TTM),14.3453
Price/Sales (TTM),3.60713
Price/Book (MRQ),1.41179
Price/Cash Flow (TTM),12.44283
5yr Low,17.84
5yr High,57.7
5yr Avg Return,-0.004866666666666671
EPS Growth 5yr,0.2251652
Revenue Growth 5yr,0.1607545
Dividend Growth 5yr,0.1532568
Short Int Current Month,1317335.0
Short Int Prev Month,1246124.0
Short Int Pct of Float,0.021615799999999998
Days to Cover,5.46837
Float,60.943
Shares Outstanding,61.5868
Institutions Holding Shares,316.0
FCF Growth 5yr,1.1216297157160735
"Price/Earnings (TTM, GAAP)",14.35
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3177
Net Profit Margin (TTM),0.2378
Annual Dividend Yield,0.0125
Dividend Change %,0.0625
"Dividend Growth Rate, 3 Years",0.0669
EPS Growth (MRQ),0.22829999999999998
EPS Growth (TTM),-0.41500000000000004
Revenue Growth (MRQ),0.1659
Revenue Growth (TTM),0.2706
Return On Equity (TTM),0.0968
Return On Assets (TTM),0.011000000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2020-11-03 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
