,CADE
% Below High,0.156
% Held by Institutions,0.7498
52-Wk Range,['22.04 - 34.24']
Annual Dividend $,0.88
Annual Dividend %,0.0304
Ask,40.0
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.0
Bid,25.9
Bid Size,1000.0
Closing Price,28.9
Day Change $,0.05
Day Change %,0.0017000000000000001
Day High,29.08
Day Low,28.79
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",1.71
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.32799999999999996
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,5.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.85
Prev Close,28.85
Short Interest,0.0391
Today's Open,29.08
Volume,358242.0
Volume 10-day Avg,874490.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.27722772277227725
Growth 1yr High Est,0.27188940092165903
Growth 1yr Consensus Est,0.27455856184696814
Growth 2yr Low Est,0.16768362882799903
Growth 2yr High Est,0.25188672944633683
Growth 2yr Consensus Est,0.20978517913716793
Growth 5yr Low Est,0.05828625885844396
Growth 5yr High Est,0.1128429280419457
Growth 5yr Consensus Est,0.08556459345019483
Growth 5yr Actual/Est,0.14744504390026783
Growth 3yr Historic,-0.08799302549302548
Price/Earnings (TTM),16.85406
Price/Sales (TTM),3.02129
Price/Book (MRQ),1.31814
Price/Cash Flow (TTM),36.09922
5yr Low,17.21
5yr High,35.59
5yr Avg Return,-0.00895
EPS Growth 5yr,0.0183187
Revenue Growth 5yr,0.12791650000000002
Dividend Growth 5yr,0.1262125
Short Int Current Month,6059554.0
Short Int Prev Month,6289660.0
Short Int Pct of Float,0.0391024
Days to Cover,6.48828
Float,182.4447
Shares Outstanding,182.4447
Institutions Holding Shares,394.0
FCF Growth 5yr,-0.10852459538131227
"Price/Earnings (TTM, GAAP)",16.85
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.24300000000000002
Net Profit Margin (TTM),0.1895
Annual Dividend Yield,0.0304
Dividend Change %,0.0405
"Dividend Growth Rate, 3 Years",0.0928
EPS Growth (MRQ),-0.0265
EPS Growth (TTM),-0.37829999999999997
Revenue Growth (MRQ),0.1602
Revenue Growth (TTM),0.7423000000000001
Return On Equity (TTM),0.09369999999999999
Return On Assets (TTM),0.0087
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0111
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-13 00:00:00
cfra since,2018-07-21 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-05-31 00:00:00
