,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q2 2021,Q3 2021
high,34.45,35.55,33.45,31.61,35.59,34.24,,,,,,,
low,31.25,24.31,25.76,17.21,24.87,22.04,,,,,,,
change,0.0,-0.1754,0.2193,-0.1319,0.0758,-0.0415,,,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet,,
Cash & Due from Banks,,,,,,,656.0,781.0,770.0,694.0,Balance Sheet,,
Interest-Earning Deposits,,,,,,,639.0,881.0,1069.0,896.0,Balance Sheet,,
Total Invest. Securities,,,,,,,15606.0,14372.0,13451.0,12442.0,Balance Sheet,,
Loans Held for Sale,,,,,,,340.0,302.0,213.0,198.0,Balance Sheet,,
"Other Erng. Assets, Total",,,,,,,16585.0,15555.0,14733.0,13536.0,Balance Sheet,,
Total Gross Loans,,,,,,,26883.0,27190.0,28360.0,29296.0,Balance Sheet,,
Loan Loss Allowances,,,,,,,-446.0,-439.0,-440.0,-433.0,Balance Sheet,,
Net Loans,,,,,,,26437.0,26751.0,27920.0,28863.0,Balance Sheet,,
Prop./Plant/Equip. - Net,,,,,,,786.0,781.0,783.0,802.0,Balance Sheet,,
"Goodwill, Net",,,,,,,1408.0,1409.0,1444.0,1450.0,Balance Sheet,,
Intangibles - Gross,,,,,,,292.0,292.0,,,Balance Sheet,,
Accum. Intangible Amort.,,,,,,,-93.0,-100.0,,,Balance Sheet,,
Intangibles - Net,,,,,,,198.0,192.0,138.0,133.0,Balance Sheet,,
"Other Assets, Total",,,,,,,1599.0,1735.0,1958.0,2222.0,Balance Sheet,,
Total Assets,,,,,,,47670.0,47204.0,47748.0,47700.0,Balance Sheet,,
Accrued Expenses,,,,,,,211.0,,,,Balance Sheet,,
Non-Interest Bearing Dep.,,,,,,,13635.0,14459.0,14013.0,13840.0,Balance Sheet,,
Interest Bearing Deposits,,,,,,,26183.0,26109.0,26177.0,25164.0,Balance Sheet,,
Total Deposits,,,,,,,39818.0,40568.0,40189.0,39004.0,Balance Sheet,,
"Other Bearing Lblts, Total",,,,,,,4.0,3.0,2.0,,Balance Sheet,,
Total ST Borrowings,,,,,,,1282.0,704.0,1849.0,3173.0,Balance Sheet,,
Total Long Term Debt,,,,,,,479.0,463.0,463.0,463.0,Balance Sheet,,
Total Debt,,,,,,,1761.0,1167.0,2312.0,3637.0,Balance Sheet,,
"Other Liabilities, Total",,,,,,,628.0,823.0,806.0,892.0,Balance Sheet,,
Total Liabilities,,,,,,,42422.0,42560.0,43310.0,43533.0,Balance Sheet,,
"Pref. Stock-Non Rdmbl, Net",,,,,,,167.0,167.0,167.0,167.0,Balance Sheet,,
Common Stock,,,,,,,471.0,459.0,456.0,456.0,Balance Sheet,,
Additional Paid-In Capital,,,,,,,2842.0,2701.0,2686.0,2696.0,Balance Sheet,,
Ret. Earn.(Accum. Deficit),,,,,,,1908.0,1981.0,2065.0,2146.0,Balance Sheet,,
Unrealized Gain (Loss),,,,,,,,-601.0,,,Balance Sheet,,
Min. Pension Lblty Adj.,,,,,,,,-63.0,,,Balance Sheet,,
Other Comprehensive Income,,,,,,,-139.0,,-936.0,-1298.0,Balance Sheet,,
"Other Equity, Total",,,,,,,-139.0,-63.0,-936.0,-1298.0,Balance Sheet,,
Total Equity,,,,,,,5248.0,4644.0,4438.0,4167.0,Balance Sheet,,
Total Liabilities & Shareholders’ Equity,,,,,,,47670.0,47204.0,47748.0,47700.0,Balance Sheet,,
Ttl Comm. Shares Outs.,,,,,,,188.0,183.0,182.0,182.0,Balance Sheet,,
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,,
Trsry Shrs-Pref. Iss. 1,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement,,
Interest & Fees on Loans,,,,,,,250938.0,283673.0,298798.0,351334.0,Income Statement,,
Inter & Divs/ Invest Securs,,,,,,,38866.0,47569.0,48825.0,49249.0,Income Statement,,
Interest on Deposits,,,,,,,822.0,688.0,1932.0,4976.0,Income Statement,,
"Interest Income, Bank",,,,,,,290626.0,331930.0,349555.0,405559.0,Income Statement,,
Interest on Deposit,,,,,,,14827.0,15074.0,16348.0,34569.0,Income Statement,,
Inter on Other Borrowings,,,,,,,4387.0,4818.0,7535.0,11692.0,Income Statement,,
Fed Funds Sold/Secs Sold under Repurch Agrmnt,,,,,,,200.0,216.0,906.0,3944.0,Income Statement,,
Total Interest Expense,,,,,,,19414.0,20108.0,24789.0,50205.0,Income Statement,,
Net Interest Income,,,,,,,271212.0,311822.0,324766.0,355354.0,Income Statement,,
Loan Loss Provision,,,,,,,133562.0,0.0,,,Income Statement,,
NetInterIn after Loan Loss Provision,,,,,,,137650.0,311822.0,324766.0,355354.0,Income Statement,,
Fees & Commish from Operat,,,,,,,16336.0,19898.0,19126.0,19943.0,Income Statement,,
Commish & Fees/Secur Act,,,,,,,26932.0,43500.0,31659.0,28415.0,Income Statement,,
Insur Commish Fees& Premium,,,,,,,3098.0,3336.0,,,Income Statement,,
Credit Card Fees,,,,,,,12843.0,11321.0,16593.0,14497.0,Income Statement,,
Invest Securities Gains,,,,,,,-378.0,-1097.0,1446.0,-139.0,Income Statement,,
Other Unusual Income,,,,,,,0.0,,0.0,0.0,Income Statement,,
Other Revenue,,,,,,,45023.0,51477.0,56410.0,61775.0,Income Statement,,
"Non-Interest Income, Bank",,,,,,,103854.0,128435.0,125234.0,124491.0,Income Statement,,
Labor & Related Expenses,,,,,,,-149599.0,-187819.0,-182094.0,-191193.0,Income Statement,,
Amortization of Intangibles,,,,,,,-5473.0,-6780.0,,-5417.0,Income Statement,,
Real Estate Operat Expnse,,,,,,,-689.0,-440.0,,-1093.0,Income Statement,,
Other Unusual Expense,,,,,,,-44843.0,-3974.0,-8274.0,-19690.0,Income Statement,,
Other Expense,,,,,,,-88590.0,-92654.0,-96520.0,-102341.0,Income Statement,,
"Non-Interest Expense, Bank",,,,,,,-289194.0,-291667.0,-286888.0,-319734.0,Income Statement,,
Income Before Tax,,,,,,,-47690.0,148590.0,163112.0,160111.0,Income Statement,,
Income Tax - Total,,,,,,,-13033.0,33643.0,36154.0,36713.0,Income Statement,,
Income After Tax,,,,,,,-34657.0,114947.0,126958.0,123398.0,Income Statement,,
Net Inc Before Extra Items,,,,,,,-34657.0,114947.0,126958.0,123398.0,Income Statement,,
Total Net Income,,,,,,,-34657.0,114947.0,126958.0,123398.0,Income Statement,,
Total Adjust to Net Income,,,,,,,-2372.0,-2372.0,-2372.0,-2372.0,Income Statement,,
Income Available to Common Excl. Extra. Items,,,,,,,-37029.0,112575.0,124586.0,121026.0,Income Statement,,
Income Available to Common Incl. Extra. Items,,,,,,,-37029.0,112575.0,124586.0,121026.0,Income Statement,,
