,CADE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",16.85,11.43,Valuation,1.4741907261592302
Price/Sales (TTM),3.02,3.3,Valuation,0.9151515151515152
Price/Book (MRQ),1.32,1.46,Valuation,0.904109589041096
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.24300000000000002,0.34240000000000004,Profitability,0.709696261682243
Net Profit Margin (TTM),0.1895,0.2812,Profitability,0.6738975817923186
Annual Dividend Yield,0.0304,0.028700000000000003,Dividend,1.0592334494773519
Dividend Change %,0.0405,-0.0086,Dividend,-4.709302325581396
"Dividend Growth Rate, 3 Years",0.0928,0.0734,Dividend,1.2643051771117164
EPS Growth (MRQ),-0.0265,-0.0335,Gowth rates,0.7910447761194029
EPS Growth (TTM),-0.37829999999999997,-0.09960000000000001,Gowth rates,3.7981927710843366
Revenue Growth (MRQ),0.1602,0.5429,Gowth rates,0.29508196721311475
Revenue Growth (TTM),0.7423000000000001,0.2466,Gowth rates,3.0101378751013788
Return On Equity (TTM),0.09369999999999999,0.1135,Effectiveness,0.8255506607929515
Return On Assets (TTM),0.0087,0.0099,Effectiveness,0.8787878787878787
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0111,0.0009,Financial strength,12.333333333333334
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
