,EBAY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,2519.53,Valuation,
Price/Sales (TTM),2.47,7.6,Valuation,0.32500000000000007
Price/Book (MRQ),5.05,10.0,Valuation,0.505
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.7279000000000001,0.4335,Profitability,1.6791234140715112
Operating Profit Margin (TTM),0.24980000000000002,0.0117,Profitability,21.350427350427353
Net Profit Margin (TTM),-0.2867,-0.0141,Profitability,20.333333333333336
Annual Dividend Yield,0.0195,0.0004,Dividend,48.75
Dividend Change %,0.125,0.0027,Dividend,46.29629629629629
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),0.8675,-0.26239999999999997,Gowth rates,-3.306021341463415
EPS Growth (TTM),-2.7384,-0.6279,Gowth rates,4.361204013377926
Revenue Growth (MRQ),-0.0173,0.1585,Gowth rates,-0.10914826498422713
Revenue Growth (TTM),-0.0376,0.12369999999999999,Gowth rates,-0.3039611964430073
Return On Equity (TTM),-0.3593,0.0635,Effectiveness,-5.658267716535433
Return On Assets (TTM),-0.1174,-0.1317,Effectiveness,0.891419893697798
Return On Investment (TTM),-0.1452,0.0197,Effectiveness,-7.370558375634518
Revenue Per Employee (TTM),916482.0,354479.0,Effectiveness,2.585433833880145
Total Debt/Total Capital (MRQ),0.6143,0.39840000000000003,Financial strength,1.5419176706827307
Change in Debt/Total Capital Quarter over Quarter,0.003,0.4575,Financial strength,0.006557377049180328
Quick Ratio (MRQ),,0.68,Financial strength,
Interest Coverage (MRQ),1.02,-0.6,Financial strength,-1.7000000000000002
