,EBAY
% Above Low,0.2539
% Held by Institutions,0.8798999999999999
52-Wk Range,['35.92 - 73.60']
Annual Dividend $,0.88
Annual Dividend %,0.0195
Ask,45.2
Ask Size,900.0
B/A Ratio,1.1111111111111112
B/A Size,1000x900
Beta,1.3
Bid,44.82
Bid Size,1000.0
Closing Price,45.04
Day Change $,-0.19
Day Change %,-0.0042
Day High,45.21
Day Low,44.56
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",-4.84
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.37700000000000006
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,24.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,45.23
Short Interest,0.033
Today's Open,44.67
Volume,2329792.0
Volume 10-day Avg,5096596.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,0.04884318766066831
Growth 1yr High Est,0.014634146341463428
Growth 1yr Consensus Est,0.03173866700106587
Growth 2yr Low Est,-0.0025391904833913514
Growth 2yr High Est,0.07582668855534713
Growth 2yr Consensus Est,0.03664374903597789
Growth 5yr Low Est,0.053197425905284014
Growth 5yr High Est,0.10547536812780711
Growth 5yr Consensus Est,0.07933639701654556
Growth 5yr Actual/Est,0.18049670748716062
Growth 3yr Historic,0.166992149982712
Price/Earnings (TTM),
Price/Sales (TTM),2.46932
Price/Book (MRQ),5.04879
Price/Cash Flow (TTM),
5yr Low,26.01
5yr High,81.19
5yr Avg Return,0.07755
EPS Growth 5yr,-0.4309158
Revenue Growth 5yr,0.0230471
Dividend Growth 5yr,
Short Int Current Month,17869039.0
Short Int Prev Month,15730564.0
Short Int Pct of Float,0.0330226
Days to Cover,2.43416
Float,541.5474
Shares Outstanding,542.6591
Institutions Holding Shares,1282.0
FCF Growth 5yr,0.1431122385276343
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7279000000000001
Operating Profit Margin (TTM),0.24980000000000002
Net Profit Margin (TTM),-0.2867
Annual Dividend Yield,0.0195
Dividend Change %,0.125
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8675
EPS Growth (TTM),-2.7384
Revenue Growth (MRQ),-0.0173
Revenue Growth (TTM),-0.0376
Return On Equity (TTM),-0.3593
Return On Assets (TTM),-0.1174
Return On Investment (TTM),-0.1452
Revenue Per Employee (TTM),916482.0
Total Debt/Total Capital (MRQ),0.6143
Change in Debt/Total Capital Quarter over Quarter,0.003
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.02
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-02-04 00:00:00
cfra since,2022-08-05 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-02-24 00:00:00
