,WTTR
Price/Earnings (TTM),17.64719
Price/Sales (TTM),0.79262
Price/Book (MRQ),1.39223
Price/Cash Flow (TTM),5.93901
5yr Low,2.22
5yr High,21.96
5yr Avg Return,0.03431666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.2038519
Dividend Growth 5yr,
Short Int Current Month,1213689.0
Short Int Prev Month,1426765.0
Short Int Pct of Float,0.0162413
Days to Cover,1.1588
Float,84.81049
Shares Outstanding,124.4574
Institutions Holding Shares,199.0
% Held by Institutions,0.631342
FCF Growth 5yr,0.03721167147941221
