,WTTR
% Below High,0.22719999999999999
% Held by Institutions,0.6313
52-Wk Range,['5.54 - 10.43']
Annual Dividend $,0.2
Annual Dividend %,0.024900000000000002
Ask,11.2
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.2
Bid,7.56
Bid Size,100.0
Closing Price,8.06
Day Change $,0.03
Day Change %,0.0037
Day High,8.22
Day Low,7.74
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",0.46
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.611
Last (size),550.0
Last (time),7:00p ET 11/28/22
Market Cap,920.9M
"P/E Ratio (TTM, GAAP)",17.65
Prev Close,8.03
Short Interest,0.016200000000000003
Today's Open,7.81
Volume,577413.0
Volume 10-day Avg,528690.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-1.9545454545454546
Growth 1yr High Est,-1.9692307692307693
Growth 1yr Consensus Est,-1.961888111888112
Growth 2yr Low Est,-0.6756854256854257
Growth 2yr High Est,-0.6354090354090354
Growth 2yr Consensus Est,-0.6555472305472305
Growth 5yr Low Est,-0.6756854256854257
Growth 5yr High Est,-0.6354090354090354
Growth 5yr Consensus Est,-0.6555472305472305
Growth 5yr Actual/Est,-33.942872333187886
Growth 3yr Historic,-33.62395309882747
Price/Earnings (TTM),17.64719
Price/Sales (TTM),0.79262
Price/Book (MRQ),1.39223
Price/Cash Flow (TTM),5.93901
5yr Low,2.22
5yr High,21.96
5yr Avg Return,0.03431666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.2038519
Dividend Growth 5yr,
Short Int Current Month,1213689.0
Short Int Prev Month,1426765.0
Short Int Pct of Float,0.0162413
Days to Cover,1.1588
Float,84.81049
Shares Outstanding,124.4574
Institutions Holding Shares,199.0
FCF Growth 5yr,0.03721167147941221
"Price/Earnings (TTM, GAAP)",17.65
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.10869999999999999
Operating Profit Margin (TTM),0.0451
Net Profit Margin (TTM),0.046900000000000004
Annual Dividend Yield,0.024900000000000002
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7028
EPS Growth (TTM),1.6048
Revenue Growth (MRQ),0.11660000000000001
Revenue Growth (TTM),0.9614
Return On Equity (TTM),0.0817
Return On Assets (TTM),0.061
Return On Investment (TTM),0.08410000000000001
Revenue Per Employee (TTM),420291.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.0092
Quick Ratio (MRQ),2.1
Interest Coverage (MRQ),49.98
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
