,WRK
% Above Low,0.2041
% Held by Institutions,0.8753
52-Wk Range,['30.08 - 54.78']
Annual Dividend $,1.1
Annual Dividend %,0.029300000000000003
Ask,47.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,31.96
Bid Size,300.0
Closing Price,36.22
Day Change $,-1.29
Day Change %,-0.0344
Day High,37.21
Day Low,36.07
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",3.65
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.369
Last (size),13.0
Last (time),7:00p ET 11/28/22
Market Cap,9.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.29
Prev Close,37.51
Short Interest,0.0151
Today's Open,37.04
Volume,1657236.0
Volume 10-day Avg,1959023.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.19603524229074898
Growth 1yr High Est,-0.15306122448979587
Growth 1yr Consensus Est,-0.17454823339027242
Growth 2yr Low Est,-0.16788063484400462
Growth 2yr High Est,-0.004241455618392009
Growth 2yr Consensus Est,-0.08606104523119831
Growth 5yr Low Est,0.08257631173528701
Growth 5yr High Est,0.16490825769805043
Growth 5yr Consensus Est,0.12374228471666872
Growth 5yr Actual/Est,0.11767814744609245
Growth 3yr Historic,0.15809766576888545
Price/Earnings (TTM),10.29033
Price/Sales (TTM),0.44904
Price/Book (MRQ),0.83692
Price/Cash Flow (TTM),3.91539
5yr Low,21.5
5yr High,71.55
5yr Avg Return,-0.06308333333333334
EPS Growth 5yr,0.0545646
Revenue Growth 5yr,0.0742277
Dividend Growth 5yr,-0.0897179
Short Int Current Month,3795961.0
Short Int Prev Month,3375312.0
Short Int Pct of Float,0.015115400000000001
Days to Cover,1.37863
Float,251.1875
Shares Outstanding,254.464
Institutions Holding Shares,831.0
FCF Growth 5yr,1.6775724995880703
"Price/Earnings (TTM, GAAP)",10.29
"PEG Ratio (TTM, GAAP)",0.9
Gross Profit Margin (TTM),0.18920000000000003
Operating Profit Margin (TTM),0.062000000000000006
Net Profit Margin (TTM),0.0447
Annual Dividend Yield,0.029300000000000003
Dividend Change %,0.13640000000000002
"Dividend Growth Rate, 3 Years",-0.18100000000000002
EPS Growth (MRQ),-0.0848
EPS Growth (TTM),0.1653
Revenue Growth (MRQ),-0.0212
Revenue Growth (TTM),0.13390000000000002
Return On Equity (TTM),0.0819
Return On Assets (TTM),0.0329
Return On Investment (TTM),0.0379
Revenue Per Employee (TTM),420921.0
Total Debt/Total Capital (MRQ),0.4053
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),7.33
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-10-10 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-11 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
