,WRK
Price/Earnings (TTM),10.29033
Price/Sales (TTM),0.44904
Price/Book (MRQ),0.83692
Price/Cash Flow (TTM),3.91539
5yr Low,21.5
5yr High,71.55
5yr Avg Return,-0.06308333333333334
EPS Growth 5yr,0.0545646
Revenue Growth 5yr,0.0742277
Dividend Growth 5yr,-0.0897179
Short Int Current Month,3795961.0
Short Int Prev Month,3375312.0
Short Int Pct of Float,0.015115400000000001
Days to Cover,1.37863
Float,251.1875
Shares Outstanding,254.464
Institutions Holding Shares,831.0
% Held by Institutions,0.8753019999999999
FCF Growth 5yr,1.6775724995880703
