,CERS
% Above Low,0.1877
% Held by Institutions,0.7948000000000001
52-Wk Range,['3.25 - 7.20']
Annual Dividend $,
Annual Dividend %,
Ask,4.07
Ask Size,17700.0
B/A Ratio,0.4350282485875706
B/A Size,7700x17700
Beta,1.1
Bid,3.01
Bid Size,7700.0
Closing Price,3.86
Day Change $,-0.05
Day Change %,-0.0128
Day High,3.92
Day Low,3.83
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.22
Ex-dividend Date,No dividend
Historical Volatility,0.599
Last (size),82.0
Last (time),12:59p ET 11/25/22
Market Cap,683.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,3.91
Short Interest,0.0362
Today's Open,3.91
Volume,379891.0
Volume 10-day Avg,956475.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.39473684210526316
Growth 1yr High Est,-0.4444444444444444
Growth 1yr Consensus Est,-0.4195906432748538
Growth 2yr Low Est,-0.21910755148741423
Growth 2yr High Est,-0.4222222222222222
Growth 2yr Consensus Est,-0.3206648868548182
Growth 5yr Low Est,-0.17686146805139943
Growth 5yr High Est,-0.2811111111111111
Growth 5yr Consensus Est,-0.22898628958125528
Growth 5yr Actual/Est,-0.23596778238322352
Growth 3yr Historic,-0.10241123476417593
Price/Earnings (TTM),
Price/Sales (TTM),3.66067
Price/Book (MRQ),9.36509
Price/Cash Flow (TTM),
5yr Low,2.71
5yr High,8.87
5yr Avg Return,0.06405000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.323545
Dividend Growth 5yr,
Short Int Current Month,6210834.0
Short Int Prev Month,6640648.0
Short Int Pct of Float,0.036220300000000004
Days to Cover,4.833
Float,171.7181
Shares Outstanding,177.4209
Institutions Holding Shares,232.0
FCF Growth 5yr,-0.08049306425954401
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5995
Operating Profit Margin (TTM),-0.16620000000000001
Net Profit Margin (TTM),-0.2048
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0095
EPS Growth (TTM),0.3786
Revenue Growth (MRQ),-0.027000000000000003
Revenue Growth (TTM),0.3081
Return On Equity (TTM),-0.4997
Return On Assets (TTM),-0.1765
Return On Investment (TTM),-0.2811
Revenue Per Employee (TTM),636333.0
Total Debt/Total Capital (MRQ),0.48490000000000005
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),1.44
Interest Coverage (MRQ),-6.35
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2012-02-06 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2009-07-19 00:00:00
