,CERS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),3.66,9.8,Valuation,0.373469387755102
Price/Book (MRQ),9.37,10.31,Valuation,0.9088263821532492
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.5995,0.6196,Profitability,0.9675597159457715
Operating Profit Margin (TTM),-0.16620000000000001,0.047,Profitability,-3.5361702127659576
Net Profit Margin (TTM),-0.2048,0.009300000000000001,Profitability,-22.021505376344084
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.0095,-0.4858,Gowth rates,0.01955537258130918
EPS Growth (TTM),0.3786,-0.2029,Gowth rates,-1.865943814687038
Revenue Growth (MRQ),-0.027000000000000003,0.1161,Gowth rates,-0.23255813953488375
Revenue Growth (TTM),0.3081,0.18300000000000002,Gowth rates,1.683606557377049
Return On Equity (TTM),-0.4997,0.1068,Effectiveness,-4.678838951310861
Return On Assets (TTM),-0.1765,0.0622,Effectiveness,-2.837620578778135
Return On Investment (TTM),-0.2811,0.0732,Effectiveness,-3.8401639344262297
Revenue Per Employee (TTM),636333.0,403586.0,Effectiveness,1.5766974077396143
Total Debt/Total Capital (MRQ),0.48490000000000005,0.3161,Financial strength,1.5340082252451759
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0125,Financial strength,0.08
Quick Ratio (MRQ),1.44,2.25,Financial strength,0.64
Interest Coverage (MRQ),-6.35,14.99,Financial strength,-0.42361574382921946
