,MCW
% Above Low,0.2218
% Held by Institutions,1.0556
52-Wk Range,['7.80 - 19.82']
Annual Dividend $,
Annual Dividend %,
Ask,24.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,9.1
Bid Size,100.0
Closing Price,9.53
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.41
Ex-dividend Date,No dividend
Historical Volatility,0.527
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",23.12
Prev Close,9.53
Short Interest,0.225
Today's Open,
Volume,384544.0
Volume 10-day Avg,2052249.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.050000000000000044
Growth 1yr High Est,-0.11363636363636365
Growth 1yr Consensus Est,-0.08181818181818185
Growth 2yr Low Est,-0.06447368421052635
Growth 2yr High Est,0.1098484848484848
Growth 2yr Consensus Est,0.02268740031897923
Growth 5yr Low Est,-0.06447368421052635
Growth 5yr High Est,0.1098484848484848
Growth 5yr Consensus Est,0.02268740031897923
Growth 5yr Actual/Est,-0.04399766899766894
Growth 3yr Historic,0.0
Price/Earnings (TTM),23.12321
Price/Sales (TTM),3.40503
Price/Book (MRQ),3.74313
Price/Cash Flow (TTM),15.23748
5yr Low,7.8
5yr High,24.49
5yr Avg Return,-0.259
EPS Growth 5yr,
Revenue Growth 5yr,0.15807090000000001
Dividend Growth 5yr,
Short Int Current Month,18436858.0
Short Int Prev Month,20131987.0
Short Int Pct of Float,0.22500979999999998
Days to Cover,8.08607
Float,301.1169
Shares Outstanding,304.9926
Institutions Holding Shares,171.0
FCF Growth 5yr,0.046434482694850544
"Price/Earnings (TTM, GAAP)",23.12
"PEG Ratio (TTM, GAAP)",3.85
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2298
Net Profit Margin (TTM),0.154
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.32630000000000003
EPS Growth (TTM),
Revenue Growth (MRQ),-0.0337
Revenue Growth (TTM),
Return On Equity (TTM),0.19
Return On Assets (TTM),0.0558
Return On Investment (TTM),0.0593
Revenue Per Employee (TTM),126461.0
Total Debt/Total Capital (MRQ),0.5402
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),0.73
Interest Coverage (MRQ),4.44
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-12 00:00:00
theStreet since,2022-08-12 00:00:00
ford since,2022-04-01 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
