,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,24.49,19.1,,,,,
low,15.67,7.8,,,,,
change,-0.0365,-0.4815,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,20.0,70.0,38.0,75.0,Balance Sheet
"Trade Accts Recvble, Gross",,,1.0,1.0,2.0,3.0,Balance Sheet
Prov. for Doubtful Accts,,,0.0,0.0,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,1.0,1.0,2.0,3.0,Balance Sheet
Other Receivables,,,23.0,13.0,14.0,14.0,Balance Sheet
"Total Receivables, Net",,,24.0,14.0,17.0,17.0,Balance Sheet
Invent. - Raw Materials,,,9.0,7.0,7.0,9.0,Balance Sheet
Inventories - Other,,,0.0,0.0,0.0,0.0,Balance Sheet
LIFO Reserve,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Inventory,,,9.0,7.0,7.0,9.0,Balance Sheet
Prepaid Expenses,,,3.0,10.0,14.0,11.0,Balance Sheet
Restricted Cash - Current,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Current Assets,,,3.0,,,,Balance Sheet
"Other Curr. Assets, Total",,,3.0,0.0,0.0,0.0,Balance Sheet
Total Current Assets,,,59.0,101.0,76.0,112.0,Balance Sheet
Buildings,,,264.0,274.0,292.0,276.0,Balance Sheet
Land/Improvements,,,82.0,87.0,94.0,88.0,Balance Sheet
Machinery/Equipment,,,188.0,191.0,200.0,212.0,Balance Sheet
Construction in Progress,,,25.0,31.0,43.0,53.0,Balance Sheet
Other Prop./Plant/Equip.,,,808.0,810.0,823.0,863.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,1367.0,1394.0,1451.0,1493.0,Balance Sheet
Accumulated Depreciation,,,-176.0,-189.0,-202.0,-215.0,Balance Sheet
Prop./Plant/Equip. - Net,,,1191.0,1205.0,1249.0,1278.0,Balance Sheet
"Goodwill, Net",,,1060.0,1061.0,1101.0,1107.0,Balance Sheet
Intangibles - Gross,,,173.0,173.0,174.0,174.0,Balance Sheet
Accum. Intangible Amort.,,,-43.0,-45.0,-47.0,-48.0,Balance Sheet
Intangibles - Net,,,130.0,128.0,127.0,126.0,Balance Sheet
Other Long Term Assets,,,8.0,8.0,8.0,8.0,Balance Sheet
Total Assets,,,2448.0,2503.0,2561.0,2631.0,Balance Sheet
Accounts Payable,,,27.0,34.0,26.0,28.0,Balance Sheet
Accrued Expenses,,,75.0,79.0,80.0,85.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
