,MGY
% Below High,0.1458
% Held by Institutions,1.044
52-Wk Range,['17.23 - 30.31']
Annual Dividend $,0.2
Annual Dividend %,0.0077
Ask,25.44
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.1
Bid,24.58
Bid Size,100.0
Closing Price,25.89
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.36
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.54
Last (size),200.0
Last (time),5:00p ET 11/25/22
Market Cap,5.2B
"P/E Ratio (TTM, GAAP)",5.94
Prev Close,25.89
Short Interest,0.0692
Today's Open,
Volume,555263.0
Volume 10-day Avg,1510035.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.9374999999999998
Growth 1yr High Est,0.9280000000000002
Growth 1yr Consensus Est,0.93275
Growth 2yr Low Est,0.25100806451612895
Growth 2yr High Est,0.5044564315352698
Growth 2yr Consensus Est,0.3777322480256994
Growth 5yr Low Est,-12.61043906810036
Growth 5yr High Est,8.336304287690181
Growth 5yr Consensus Est,-2.1370673902050896
Growth 5yr Actual/Est,-30.582926253976275
Growth 3yr Historic,-30.767857142857142
Price/Earnings (TTM),5.93698
Price/Sales (TTM),3.32815
Price/Book (MRQ),4.40354
Price/Cash Flow (TTM),4.58658
5yr Low,3.23
5yr High,30.31
5yr Avg Return,0.30584999999999996
Short Int Current Month,11742540.0
Short Int Prev Month,15611356.0
Short Int Pct of Float,0.0691636
Days to Cover,4.39215
Float,25.63229
Shares Outstanding,216.1989
Institutions Holding Shares,389.0
FCF Growth 5yr,0.5492461572761222
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",5.94
"PEG Ratio (TTM, GAAP)",0.47
Gross Profit Margin (TTM),0.885
Operating Profit Margin (TTM),0.6406999999999999
Net Profit Margin (TTM),0.5872
Annual Dividend Yield,0.0077
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0229
EPS Growth (TTM),1.5652000000000001
Revenue Growth (MRQ),-0.0034999999999999996
Revenue Growth (TTM),0.8641
Return On Equity (TTM),0.8265000000000001
Return On Assets (TTM),0.5082
Return On Investment (TTM),0.6709
Revenue Per Employee (TTM),8759552.0
Total Debt/Total Capital (MRQ),0.2096
Change in Debt/Total Capital Quarter over Quarter,-0.0031
Quick Ratio (MRQ),
Interest Coverage (MRQ),60.17
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-18 00:00:00
theStreet since,2022-10-28 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
