,MGY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.94,9.13,Valuation,0.6506024096385542
Price/Sales (TTM),3.33,7.57,Valuation,0.43989431968295906
Price/Book (MRQ),4.4,4.65,Valuation,0.946236559139785
"PEG Ratio (TTM, GAAP)",0.47,0.01,Valuation,46.99999999999999
Gross Profit Margin (TTM),0.885,0.35119999999999996,Profitability,2.51993166287016
Operating Profit Margin (TTM),0.6406999999999999,0.192,Profitability,3.336979166666666
Net Profit Margin (TTM),0.5872,0.0358,Profitability,16.402234636871512
Annual Dividend Yield,0.0077,0.0379,Dividend,0.20316622691292874
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),-0.0229,2.3421000000000003,Gowth rates,-0.00977755006191025
EPS Growth (TTM),1.5652000000000001,7.2215,Gowth rates,0.21674167416741677
Revenue Growth (MRQ),-0.0034999999999999996,0.7168000000000001,Gowth rates,-0.004882812499999999
Revenue Growth (TTM),0.8641,47.807,Gowth rates,0.018074758926517037
Return On Equity (TTM),0.8265000000000001,0.3993,Effectiveness,2.069872276483847
Return On Assets (TTM),0.5082,0.15810000000000002,Effectiveness,3.214421252371916
Return On Investment (TTM),0.6709,0.2237,Effectiveness,2.999105945462673
Revenue Per Employee (TTM),8759552.0,7554984.0,Effectiveness,1.1594401788276454
Total Debt/Total Capital (MRQ),0.2096,0.3658,Financial strength,0.5729907053034445
Change in Debt/Total Capital Quarter over Quarter,-0.0031,-0.002,Financial strength,1.5499999999999998
Quick Ratio (MRQ),,0.96,Financial strength,
Interest Coverage (MRQ),60.17,13.28,Financial strength,4.530873493975904
