,BSIG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.07,20.51,Valuation,0.44222330570453433
Price/Sales (TTM),1.8,12.46,Valuation,0.14446227929373995
Price/Book (MRQ),,4.63,Valuation,
"PEG Ratio (TTM, GAAP)",,2.67,Valuation,
Gross Profit Margin (TTM),,0.5835,Profitability,
Operating Profit Margin (TTM),0.3948,0.269,Profitability,1.4676579925650557
Net Profit Margin (TTM),0.24530000000000002,0.1791,Profitability,1.3696259073143495
Annual Dividend Yield,0.002,0.0257,Dividend,0.07782101167315175
Dividend Change %,-0.6923,0.2049,Dividend,-3.378721327476818
"Dividend Growth Rate, 3 Years",-0.5319,0.1213,Dividend,-4.384995877988459
EPS Growth (MRQ),-0.37520000000000003,-0.2356,Gowth rates,1.5925297113752124
EPS Growth (TTM),-0.3335,-0.0768,Gowth rates,4.342447916666667
Revenue Growth (MRQ),-0.0911,0.0931,Gowth rates,-0.9785177228786252
Revenue Growth (TTM),-0.0504,0.0447,Gowth rates,-1.12751677852349
Return On Equity (TTM),0.21789999999999998,0.1783,Effectiveness,1.2220975883342682
Return On Assets (TTM),0.0966,0.0492,Effectiveness,1.9634146341463417
Return On Investment (TTM),0.1174,0.1008,Effectiveness,1.1646825396825398
Revenue Per Employee (TTM),1306857.0,1125238.0,Effectiveness,1.1614049649940723
Total Debt/Total Capital (MRQ),1.2228,0.5241,Financial strength,2.333142530051517
Change in Debt/Total Capital Quarter over Quarter,0.0175,0.0008,Financial strength,21.875
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),6.35,21.92,Financial strength,0.2896897810218978
