,BSIG
% Above Low,0.34759999999999996
% Held by Institutions,1.0563
52-Wk Range,['14.73 - 31.17']
Annual Dividend $,0.04
Annual Dividend %,0.002
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,7.96
Bid Size,
Closing Price,19.85
Day Change $,0.11
Day Change %,0.005600000000000001
Day High,20.01
Day Low,19.65
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",2.19
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.41100000000000003
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,824.5M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.07
Prev Close,19.74
Short Interest,0.0344
Today's Open,19.69
Volume,52786.0
Volume 10-day Avg,155111.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.11904761904761907
Growth 1yr High Est,-0.02298850574712641
Growth 1yr Consensus Est,-0.07101806239737274
Growth 2yr Low Est,-0.13046975546975548
Growth 2yr High Est,-0.02325895875591616
Growth 2yr Consensus Est,-0.07686435711283582
Growth 5yr Low Est,-0.06523487773487774
Growth 5yr High Est,-0.008722502633772028
Growth 5yr Consensus Est,-0.03697869018432488
Growth 5yr Actual/Est,-0.04156552168890154
Growth 3yr Historic,-0.034253430185633565
Price/Earnings (TTM),9.07035
Price/Sales (TTM),1.79812
Price/Book (MRQ),
Price/Cash Flow (TTM),6.20726
5yr Low,3.61
5yr High,31.17
5yr Avg Return,0.1163666666666667
EPS Growth 5yr,0.09594939999999999
Revenue Growth 5yr,-0.046183300000000004
Dividend Growth 5yr,-0.340246
Short Int Current Month,1414896.0
Short Int Prev Month,2029794.0
Short Int Pct of Float,0.0343723
Days to Cover,5.25525
Float,41.1638
Shares Outstanding,41.43386
Institutions Holding Shares,217.0
FCF Growth 5yr,-0.4276094276094276
"Price/Earnings (TTM, GAAP)",9.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3948
Net Profit Margin (TTM),0.24530000000000002
Annual Dividend Yield,0.002
Dividend Change %,-0.6923
"Dividend Growth Rate, 3 Years",-0.5319
EPS Growth (MRQ),-0.37520000000000003
EPS Growth (TTM),-0.3335
Revenue Growth (MRQ),-0.0911
Revenue Growth (TTM),-0.0504
Return On Equity (TTM),0.21789999999999998
Return On Assets (TTM),0.0966
Return On Investment (TTM),0.1174
Revenue Per Employee (TTM),1306857.0
Total Debt/Total Capital (MRQ),1.2228
Change in Debt/Total Capital Quarter over Quarter,0.0175
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.35
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2022-11-04 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-04 00:00:00
theStreet since,
