,BURL
% Above Low,0.8465
% Held by Institutions,1.0884
52-Wk Range,['106.47 - 304.18']
Annual Dividend $,
Annual Dividend %,
Ask,200.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,196.33
Bid Size,200.0
Closing Price,196.6
Day Change $,0.9
Day Change %,0.0046
Day High,199.21
Day Low,195.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.47
Ex-dividend Date,No dividend
Historical Volatility,0.605
Last (size),44.0
Last (time),5:00p ET 11/25/22
Market Cap,12.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",79.47
Prev Close,195.7
Short Interest,0.07150000000000001
Today's Open,196.25
Volume,686230.0
Volume 10-day Avg,2105729.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.4713896457765667
Growth 1yr High Est,-0.43918918918918914
Growth 1yr Consensus Est,-0.45528941748287793
Growth 2yr Low Est,-0.14162265793982964
Growth 2yr High Est,0.25751383914034504
Growth 2yr Consensus Est,0.057945590600257696
Growth 5yr Low Est,-0.07081132896991482
Growth 5yr High Est,0.12875691957017252
Growth 5yr Consensus Est,0.028972795300128848
Growth 5yr Actual/Est,-1.3845626659801784
Growth 3yr Historic,-1.404800537710634
Price/Earnings (TTM),79.47223
Price/Sales (TTM),1.49599
Price/Book (MRQ),20.06582
Price/Cash Flow (TTM),29.49078
5yr Low,101.4
5yr High,357.34
5yr Avg Return,0.14828333333333332
EPS Growth 5yr,0.1479884
Revenue Growth 5yr,0.1076616
Dividend Growth 5yr,
Short Int Current Month,4643990.0
Short Int Prev Month,4980455.0
Short Int Pct of Float,0.0714948
Days to Cover,3.31625
Float,64.95854
Shares Outstanding,65.19127
Institutions Holding Shares,569.0
FCF Growth 5yr,-0.4579035872031773
"Price/Earnings (TTM, GAAP)",79.47
"PEG Ratio (TTM, GAAP)",158.94
Gross Profit Margin (TTM),0.4032
Operating Profit Margin (TTM),0.0323
Net Profit Margin (TTM),0.0194
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4123
EPS Growth (TTM),-0.6233
Revenue Growth (MRQ),0.0265
Revenue Growth (TTM),-0.0477
Return On Equity (TTM),0.2457
Return On Assets (TTM),0.0232
Return On Investment (TTM),0.032
Revenue Per Employee (TTM),578756.0
Total Debt/Total Capital (MRQ),0.6983
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.35
Interest Coverage (MRQ),2.76
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-26 00:00:00
ford since,2022-08-26 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-08-31 00:00:00
