,ALBO
% Above Low,0.3739
% Held by Institutions,0.9608
52-Wk Range,['16.02 - 37.63']
Annual Dividend $,
Annual Dividend %,
Ask,23.0
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,0.8
Bid,22.01
Bid Size,300.0
Closing Price,22.01
Day Change $,-0.1
Day Change %,-0.0045000000000000005
Day High,22.65
Day Low,21.63
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.89
Ex-dividend Date,No dividend
Historical Volatility,0.775
Last (size),105.0
Last (time),12:59p ET 11/25/22
Market Cap,455.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,22.11
Short Interest,0.058600000000000006
Today's Open,21.88
Volume,38622.0
Volume 10-day Avg,139107.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.135831381733021
Growth 2yr High Est,-0.21843971631205672
Growth 2yr Consensus Est,-0.17713554902253886
Growth 5yr Low Est,-0.135831381733021
Growth 5yr High Est,-0.21843971631205672
Growth 5yr Consensus Est,-0.17713554902253886
Growth 5yr Actual/Est,0.7270763346082554
Growth 3yr Historic,-0.10042026344960964
Price/Earnings (TTM),
Price/Sales (TTM),8.89513
Price/Book (MRQ),3.7954
Price/Cash Flow (TTM),
5yr Low,11.26
5yr High,49.0
5yr Avg Return,-0.005666666666666661
EPS Growth 5yr,
Revenue Growth 5yr,0.289894
Dividend Growth 5yr,
Short Int Current Month,1084999.0
Short Int Prev Month,1665619.0
Short Int Pct of Float,0.0585644
Days to Cover,4.61423
Float,18.65083
Shares Outstanding,20.70128
Institutions Holding Shares,159.0
FCF Growth 5yr,0.17257821150317934
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9538
Operating Profit Margin (TTM),-2.4879
Net Profit Margin (TTM),-0.7079000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0684
EPS Growth (TTM),0.7456
Revenue Growth (MRQ),0.2011
Revenue Growth (TTM),4.543
Return On Equity (TTM),-0.31920000000000004
Return On Assets (TTM),-0.1617
Return On Investment (TTM),-0.19190000000000002
Revenue Per Employee (TTM),394023.0
Total Debt/Total Capital (MRQ),0.08199999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),4.44
Interest Coverage (MRQ),-13.55
newConstructs,rating-box
cfra,
theStreet,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2020-05-26 00:00:00
ford since,
researchTeam since,
marketEdge opinion since,
