,ALBO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),8.9,45.03,Valuation,0.19764601376859872
Price/Book (MRQ),3.8,12.61,Valuation,0.3013481363996828
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9538,0.5874,Profitability,1.6237657473612528
Operating Profit Margin (TTM),-2.4879,-4.7459,Profitability,0.5242209064666343
Net Profit Margin (TTM),-0.7079000000000001,-4.5467,Profitability,0.1556953394769833
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.0684,-0.0014000000000000002,Gowth rates,-48.857142857142854
EPS Growth (TTM),0.7456,0.027200000000000002,Gowth rates,27.41176470588235
Revenue Growth (MRQ),0.2011,1.3963999999999999,Gowth rates,0.14401317674018907
Revenue Growth (TTM),4.543,0.9747,Gowth rates,4.660921309120755
Return On Equity (TTM),-0.31920000000000004,0.1967,Effectiveness,-1.6227758007117439
Return On Assets (TTM),-0.1617,0.0016,Effectiveness,-101.0625
Return On Investment (TTM),-0.19190000000000002,0.0219,Effectiveness,-8.762557077625571
Revenue Per Employee (TTM),394023.0,1476201.0,Effectiveness,0.26691690359239695
Total Debt/Total Capital (MRQ),0.08199999999999999,0.4675,Financial strength,0.17540106951871653
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0036,Financial strength,-0.02777777777777778
Quick Ratio (MRQ),4.44,2.06,Financial strength,2.1553398058252426
Interest Coverage (MRQ),-13.55,2.69,Financial strength,-5.037174721189592
